nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00836 -0.00836 -0.00479 -0.00476 -0.00516 -0.00549 -0.00566 -0.00568 -0.00557 -0.00541 -0.00536 -0.00557 -0.00578 -0.00421  0.00238   0.0205   0.0521   0.0521
       16| -0.00836 -0.00836 -0.00479 -0.00476 -0.00516 -0.00549 -0.00566 -0.00568 -0.00557 -0.00541 -0.00536 -0.00557 -0.00578 -0.00421  0.00238   0.0205   0.0521   0.0521
       15| -0.00547 -0.00547 -0.00537 -0.00536 -0.00543 -0.00549 -0.00549 -0.00539  -0.0052 -0.00499 -0.00486 -0.00498 -0.00546 -0.00588 -0.00355   0.0061   0.0232   0.0232
       14| -0.00429 -0.00429 -0.00438 -0.00445 -0.00454 -0.00459 -0.00456 -0.00445 -0.00426 -0.00401 -0.00376 -0.00356 -0.00343 -0.00316 -0.00156  0.00398    0.012    0.012
       13| -0.00353 -0.00353 -0.00362 -0.00369 -0.00374 -0.00374 -0.00368 -0.00354 -0.00331   -0.003 -0.00261 -0.00211 -0.00141-0.000254  0.00191  0.00573  0.00964  0.00964
       12| -0.00294 -0.00294   -0.003 -0.00304 -0.00306 -0.00302 -0.00292 -0.00275 -0.00248  -0.0021 -0.00161 -0.00093 2.85e-05  0.00143  0.00344  0.00599  0.00803  0.00803
       11| -0.00245 -0.00245 -0.00249  -0.0025 -0.00248 -0.00242 -0.00229 -0.00208 -0.00178 -0.00138-0.000835-0.000115  0.00084  0.00209  0.00361  0.00518  0.00623  0.00623
       10| -0.00203 -0.00203 -0.00206 -0.00205   -0.002 -0.00191 -0.00176 -0.00154 -0.00123-0.000819-0.000291 0.000382  0.00122  0.00221  0.00328  0.00423  0.00477  0.00477
        9| -0.00167 -0.00167 -0.00169 -0.00167 -0.00161  -0.0015 -0.00134 -0.00111-0.000806-0.000417 6.84e-05 0.000656  0.00134  0.00209  0.00283  0.00343  0.00373  0.00373
        8| -0.00137 -0.00137 -0.00138 -0.00135 -0.00128 -0.00116   -0.001-0.000777-0.000491-0.000135 0.000292 0.000787  0.00133   0.0019  0.00242  0.00281  0.00299  0.00299
        7| -0.00112 -0.00112 -0.00112 -0.00109 -0.00101-0.000898-0.000737-0.000526-0.000262 5.56e-05 0.000425 0.000836  0.00127   0.0017  0.00207  0.00234  0.00245  0.00245
        6|-0.000921-0.000921-0.000916-0.000877-0.000802-0.000689-0.000535-0.000338-9.87e-05 0.000182 0.000499  0.00084  0.00119  0.00152   0.0018  0.00199  0.00207  0.00207
        5| -0.00076 -0.00076-0.000753-0.000713-0.000639-0.000529-0.000384-0.000202 1.57e-05 0.000265 0.000538 0.000825  0.00111  0.00137  0.00159  0.00173  0.00178  0.00178
        4| -0.00064 -0.00064-0.000631 -0.00059-0.000518-0.000413-0.000275-0.000105 9.38e-05 0.000317 0.000557 0.000804  0.00104  0.00126  0.00143  0.00154  0.00159  0.00159
        3|-0.000556-0.000556-0.000547-0.000506-0.000435-0.000333-0.000201-4.05e-05 0.000145  0.00035 0.000567 0.000785 0.000994  0.00118  0.00132  0.00142  0.00145  0.00145
        2|-0.000509-0.000509-0.000498-0.000458-0.000387-0.000286-0.000158-2.64e-06 0.000175 0.000368 0.000572 0.000774 0.000965  0.00113  0.00126  0.00135  0.00138  0.00138
        1|-0.000496-0.000496-0.000485-0.000443-0.000372-0.000271-0.000142 1.15e-05 0.000187 0.000377 0.000576 0.000773 0.000957  0.00112  0.00124  0.00132  0.00135  0.00135
        0|-0.000496-0.000496-0.000485-0.000443-0.000372-0.000271-0.000142 1.15e-05 0.000187 0.000377 0.000576 0.000773 0.000957  0.00112  0.00124  0.00132  0.00135  0.00135

