nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00663 -0.00663 -0.00247 -0.00177 -0.00171 -0.00186 -0.00212 -0.00251 -0.00307 -0.00387 -0.00503 -0.00664 -0.00835 -0.00781  0.00184   0.0307   0.0789   0.0789
       16| -0.00663 -0.00663 -0.00247 -0.00177 -0.00171 -0.00186 -0.00212 -0.00251 -0.00307 -0.00387 -0.00503 -0.00664 -0.00835 -0.00781  0.00184   0.0307   0.0789   0.0789
       15| -0.00354 -0.00354 -0.00313 -0.00269 -0.00248 -0.00248 -0.00265 -0.00296 -0.00347 -0.00425 -0.00545 -0.00727 -0.00978  -0.0122    -0.01  0.00543   0.0333   0.0333
       14| -0.00261 -0.00261 -0.00251 -0.00235 -0.00231  -0.0024 -0.00262 -0.00298 -0.00354 -0.00441 -0.00577 -0.00788   -0.011  -0.0145  -0.0157 -0.00946  0.00311  0.00311
       13| -0.00201 -0.00201 -0.00202   -0.002 -0.00205 -0.00218 -0.00243 -0.00282 -0.00341 -0.00431 -0.00578 -0.00817  -0.0118  -0.0163   -0.019  -0.0159 -0.00891 -0.00891
       12| -0.00156 -0.00156 -0.00159 -0.00163 -0.00172 -0.00187 -0.00211 -0.00248 -0.00302 -0.00385 -0.00521 -0.00749  -0.0111  -0.0154  -0.0179  -0.0152  -0.0104  -0.0104
       11| -0.00115 -0.00115  -0.0012 -0.00125 -0.00134 -0.00148 -0.00168 -0.00197 -0.00239 -0.00302 -0.00403 -0.00569 -0.00823  -0.0112  -0.0125 -0.00986 -0.00631 -0.00631
       10|-0.000779-0.000779-0.000818-0.000866-0.000937 -0.00104 -0.00117 -0.00136 -0.00162 -0.00198 -0.00252 -0.00335 -0.00452 -0.00568  -0.0056 -0.00296-0.000227-0.000227
        9|-0.000426-0.000426-0.000456 -0.00049-0.000532-0.000584-0.000648-0.000723-0.000812-0.000914 -0.00103 -0.00115 -0.00122-0.000991 0.000212  0.00275  0.00484  0.00484
        8|-9.74e-05-9.74e-05-0.000119-0.000134-0.000144-0.000149-0.000143 -0.00012 -6.7e-05 3.36e-05 0.000214 0.000528  0.00107  0.00206  0.00363  0.00574  0.00725  0.00725
        7|   0.0002   0.0002 0.000187  0.00019 0.000209 0.000246  0.00031 0.000411 0.000566   0.0008  0.00115  0.00167  0.00245  0.00354  0.00493  0.00638  0.00734  0.00734
        6| 0.000459 0.000459 0.000454 0.000473 0.000515 0.000586 0.000693 0.000849  0.00107  0.00138   0.0018  0.00238  0.00315   0.0041  0.00514  0.00604  0.00657  0.00657
        5| 0.000675 0.000675 0.000677 0.000707 0.000768 0.000863    0.001  0.00119  0.00145  0.00179  0.00223  0.00279  0.00347  0.00424  0.00498  0.00556  0.00584  0.00584
        4| 0.000844 0.000844 0.000849 0.000889 0.000963  0.00108  0.00123  0.00145  0.00172  0.00207   0.0025  0.00302   0.0036  0.00421  0.00477  0.00516  0.00532  0.00532
        3| 0.000961 0.000961  0.00097  0.00102   0.0011  0.00122   0.0014  0.00162   0.0019  0.00225  0.00266  0.00313  0.00364  0.00415  0.00458  0.00488  0.00499  0.00499
        2|  0.00103  0.00103  0.00104  0.00109  0.00118  0.00131  0.00149  0.00172  0.00201  0.00235  0.00275  0.00319  0.00366   0.0041  0.00447  0.00471   0.0048   0.0048
        1|  0.00104  0.00104  0.00105  0.00111   0.0012  0.00134  0.00152  0.00176  0.00205  0.00239  0.00279  0.00322  0.00367  0.00408  0.00443  0.00466  0.00474  0.00474
        0|  0.00104  0.00104  0.00105  0.00111   0.0012  0.00134  0.00152  0.00176  0.00205  0.00239  0.00279  0.00322  0.00367  0.00408  0.00443  0.00466  0.00474  0.00474

