nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0213  -0.0213  -0.0159  -0.0129  -0.0104 -0.00807   -0.006  -0.0041  -0.0023-0.000547  0.00124  0.00313  0.00526  0.00794   0.0118   0.0183   0.0298   0.0298
       16|  -0.0213  -0.0213  -0.0159  -0.0129  -0.0104 -0.00807   -0.006  -0.0041  -0.0023-0.000547  0.00124  0.00313  0.00526  0.00794   0.0118   0.0183   0.0298   0.0298
       15|  -0.0153  -0.0153  -0.0138  -0.0117 -0.00955 -0.00752 -0.00562 -0.00384 -0.00213-0.000455  0.00124  0.00303  0.00498  0.00724   0.0101    0.014   0.0191   0.0191
       14|  -0.0117  -0.0117  -0.0109 -0.00966 -0.00815 -0.00655 -0.00496 -0.00338 -0.00183-0.000276  0.00131  0.00298  0.00479  0.00679  0.00909   0.0117   0.0139   0.0139
       13| -0.00923 -0.00923 -0.00881 -0.00796 -0.00685 -0.00559 -0.00427 -0.00291 -0.00153-0.000128  0.00131  0.00281  0.00439  0.00606  0.00779  0.00943   0.0105   0.0105
       12| -0.00746 -0.00746 -0.00717 -0.00656 -0.00572 -0.00472 -0.00362 -0.00246 -0.00126-2.47e-05  0.00124  0.00255  0.00388  0.00521  0.00649  0.00757  0.00819  0.00819
       11|  -0.0061  -0.0061 -0.00589 -0.00543 -0.00477 -0.00396 -0.00305 -0.00207 -0.00103  3.9e-05  0.00113  0.00224  0.00334   0.0044  0.00535  0.00609  0.00648  0.00648
       10| -0.00503 -0.00503 -0.00486  -0.0045 -0.00398 -0.00332 -0.00256 -0.00173-0.000845 7.18e-05  0.00101  0.00194  0.00284  0.00368   0.0044  0.00493   0.0052   0.0052
        9| -0.00418 -0.00418 -0.00405 -0.00376 -0.00333 -0.00279 -0.00215 -0.00145-0.000697  8.3e-05 0.000872  0.00165  0.00239  0.00306  0.00362  0.00401  0.00421  0.00421
        8|  -0.0035  -0.0035 -0.00339 -0.00315  -0.0028 -0.00235 -0.00181 -0.00122-0.000581 8.06e-05 0.000746   0.0014    0.002  0.00254  0.00298  0.00329  0.00344  0.00344
        7| -0.00296 -0.00296 -0.00287 -0.00267 -0.00237 -0.00199 -0.00154 -0.00103-0.000491 7.08e-05 0.000634  0.00118  0.00168  0.00213  0.00248  0.00272  0.00284  0.00284
        6| -0.00253 -0.00253 -0.00245 -0.00229 -0.00203 -0.00171 -0.00132-0.000889-0.000423 5.77e-05 0.000538 0.000999  0.00142  0.00179  0.00208  0.00228  0.00238  0.00238
        5|  -0.0022  -0.0022 -0.00213 -0.00199 -0.00177 -0.00149 -0.00115-0.000777-0.000373 4.43e-05 0.000459 0.000856  0.00122  0.00153  0.00177  0.00194  0.00202  0.00202
        4| -0.00195 -0.00195 -0.00189 -0.00176 -0.00157 -0.00132 -0.00103-0.000693-0.000336 3.22e-05 0.000397 0.000745  0.00106  0.00133  0.00154  0.00169  0.00175  0.00175
        3| -0.00178 -0.00178 -0.00172 -0.00161 -0.00143 -0.00121-0.000936-0.000634 -0.00031 2.28e-05 0.000353 0.000666  0.00095  0.00119  0.00138  0.00151  0.00157  0.00157
        2| -0.00167 -0.00167 -0.00161 -0.00151 -0.00134 -0.00113 -0.00088-0.000597-0.000295 1.65e-05 0.000324 0.000616 0.000879   0.0011  0.00128   0.0014  0.00145  0.00145
        1| -0.00162 -0.00162 -0.00157 -0.00146  -0.0013  -0.0011-0.000854-0.000581-0.000288 1.37e-05 0.000311 0.000593 0.000848  0.00106  0.00123  0.00135   0.0014   0.0014
        0| -0.00162 -0.00162 -0.00157 -0.00146  -0.0013  -0.0011-0.000854-0.000581-0.000288 1.37e-05 0.000311 0.000593 0.000848  0.00106  0.00123  0.00135   0.0014   0.0014

