nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0074  -0.0074 -0.00367 -0.00352 -0.00391 -0.00434 -0.00472 -0.00501 -0.00524 -0.00546 -0.00582 -0.00658 -0.00777 -0.00719-0.000269   0.0206   0.0568   0.0568
       16|  -0.0074  -0.0074 -0.00367 -0.00352 -0.00391 -0.00434 -0.00472 -0.00501 -0.00524 -0.00546 -0.00582 -0.00658 -0.00777 -0.00719-0.000269   0.0206   0.0568   0.0568
       15| -0.00454 -0.00454 -0.00436  -0.0043 -0.00439 -0.00456 -0.00474 -0.00489 -0.00501 -0.00514 -0.00541 -0.00606 -0.00741 -0.00917 -0.00751   0.0034   0.0234   0.0234
       14| -0.00349 -0.00349 -0.00354 -0.00361 -0.00373 -0.00387   -0.004  -0.0041 -0.00417 -0.00423 -0.00436 -0.00466 -0.00527 -0.00608 -0.00552 0.000453   0.0101   0.0101
       13| -0.00283 -0.00283 -0.00292 -0.00299 -0.00309 -0.00319 -0.00326 -0.00329 -0.00328 -0.00323 -0.00315 -0.00303 -0.00282 -0.00227-0.000564  0.00356  0.00829  0.00829
       12| -0.00234 -0.00234 -0.00241 -0.00247 -0.00253 -0.00258 -0.00259 -0.00256 -0.00247  -0.0023 -0.00203 -0.00161-0.000912 0.000284  0.00229   0.0052  0.00774  0.00774
       11| -0.00193 -0.00193 -0.00198 -0.00202 -0.00204 -0.00205 -0.00201 -0.00192 -0.00176  -0.0015 -0.00112-0.000557 0.000284   0.0015  0.00314  0.00498  0.00632  0.00632
       10| -0.00158 -0.00158 -0.00161 -0.00163 -0.00163  -0.0016 -0.00152 -0.00139 -0.00118-0.000884-0.000461 0.000125 0.000913  0.00192  0.00309   0.0042  0.00488  0.00488
        9| -0.00128 -0.00128  -0.0013  -0.0013 -0.00128 -0.00122 -0.00112-0.000961-0.000735-0.000424-9.95e-06 0.000527  0.00119  0.00197  0.00277  0.00345   0.0038   0.0038
        8| -0.00102 -0.00102 -0.00103 -0.00102-0.000982-0.000909-0.000793-0.000626-0.000398-9.85e-05 0.000281 0.000744  0.00128  0.00186  0.00242  0.00284  0.00304  0.00304
        7|-0.000804-0.000804-0.000811-0.000791-0.000742 -0.00066-0.000538 -0.00037-0.000151 0.000125  0.00046 0.000849  0.00128  0.00171   0.0021  0.00239  0.00251  0.00251
        6|-0.000627-0.000627 -0.00063-0.000605-0.000551-0.000465-0.000342 -0.00018 2.58e-05 0.000275 0.000566  0.00089  0.00123  0.00156  0.00185  0.00204  0.00212  0.00212
        5|-0.000488-0.000488-0.000487-0.000459-0.000402-0.000315-0.000195-4.04e-05  0.00015 0.000373 0.000626 0.000899  0.00118  0.00143  0.00165  0.00179  0.00185  0.00185
        4|-0.000383-0.000383 -0.00038 -0.00035-0.000292-0.000206-8.91e-05 5.78e-05 0.000234 0.000437  0.00066 0.000893  0.00112  0.00133  0.00151  0.00162  0.00166  0.00166
        3|-0.000312-0.000312-0.000307-0.000276-0.000217-0.000131-1.78e-05 0.000123 0.000289 0.000476 0.000678 0.000885  0.00109  0.00126  0.00141   0.0015  0.00153  0.00153
        2|-0.000272-0.000272-0.000266-0.000234-0.000175-8.89e-05 2.35e-05 0.000161 0.000321 0.000499 0.000689  0.00088  0.00106  0.00122  0.00135  0.00143  0.00146  0.00146
        1|-0.000263-0.000263-0.000257-0.000223-0.000163 -7.6e-05 3.72e-05 0.000175 0.000334 0.000509 0.000695 0.000882  0.00106  0.00121  0.00133  0.00141  0.00144  0.00144
        0|-0.000263-0.000263-0.000257-0.000223-0.000163 -7.6e-05 3.72e-05 0.000175 0.000334 0.000509 0.000695 0.000882  0.00106  0.00121  0.00133  0.00141  0.00144  0.00144

