nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00813 -0.00813 -0.00453 -0.00448 -0.00489 -0.00525 -0.00548 -0.00556 -0.00552 -0.00545 -0.00548 -0.00582 -0.00624 -0.00482  0.00186   0.0206    0.053    0.053
       16| -0.00813 -0.00813 -0.00453 -0.00448 -0.00489 -0.00525 -0.00548 -0.00556 -0.00552 -0.00545 -0.00548 -0.00582 -0.00624 -0.00482  0.00186   0.0206    0.053    0.053
       15| -0.00526 -0.00526 -0.00514 -0.00512  -0.0052  -0.0053 -0.00535  -0.0053 -0.00519 -0.00504 -0.00499 -0.00523 -0.00588 -0.00656 -0.00434  0.00557   0.0233   0.0233
       14| -0.00411 -0.00411 -0.00419 -0.00427 -0.00437 -0.00444 -0.00445 -0.00439 -0.00425 -0.00407  -0.0039  -0.0038 -0.00381 -0.00375 -0.00232  0.00332   0.0117   0.0117
       13| -0.00337 -0.00337 -0.00346 -0.00353  -0.0036 -0.00363  -0.0036  -0.0035 -0.00331 -0.00306 -0.00273  -0.0023  -0.0017-0.000643  0.00145  0.00535  0.00942  0.00942
       12| -0.00281 -0.00281 -0.00287 -0.00292 -0.00294 -0.00293 -0.00286 -0.00271 -0.00248 -0.00215  -0.0017 -0.00107 -0.00016   0.0012  0.00323  0.00585  0.00799  0.00799
       11| -0.00233 -0.00233 -0.00238  -0.0024 -0.00239 -0.00234 -0.00223 -0.00205 -0.00178 -0.00141-0.000898-0.000208 0.000727  0.00197  0.00352  0.00513  0.00624  0.00624
       10| -0.00193 -0.00193 -0.00196 -0.00196 -0.00193 -0.00185 -0.00171 -0.00151 -0.00122-0.000836-0.000329 0.000327  0.00115  0.00215  0.00323  0.00421  0.00478  0.00478
        9| -0.00159 -0.00159  -0.0016 -0.00159 -0.00154 -0.00144 -0.00129 -0.00108-0.000794-0.000421  4.9e-05 0.000626  0.00131  0.00206  0.00281  0.00343  0.00373  0.00373
        8|  -0.0013  -0.0013 -0.00131 -0.00128 -0.00122 -0.00111-0.000958-0.000748-0.000474-0.000131 0.000287 0.000774  0.00132  0.00189  0.00241  0.00281  0.00299  0.00299
        7| -0.00106 -0.00106 -0.00106 -0.00103-0.000957-0.000849-0.000697-0.000495-0.000241  6.7e-05 0.000429 0.000834  0.00127   0.0017  0.00207  0.00234  0.00246  0.00246
        6| -0.00086 -0.00086-0.000856-0.000821 -0.00075-0.000643-0.000496-0.000307-7.54e-05 0.000198 0.000509 0.000846  0.00119  0.00152   0.0018  0.00199  0.00207  0.00207
        5|-0.000704-0.000704-0.000698-0.000661-0.000591-0.000486-0.000346 -0.00017 4.09e-05 0.000284 0.000553 0.000836  0.00112  0.00138  0.00159  0.00174  0.00179  0.00179
        4|-0.000587-0.000587-0.000579-0.000541-0.000472-0.000371-0.000238-7.34e-05  0.00012 0.000339 0.000575 0.000818  0.00106  0.00127  0.00144  0.00155   0.0016   0.0016
        3|-0.000506-0.000506-0.000498-0.000459-0.000391-0.000293-0.000165-8.79e-06 0.000172 0.000373 0.000586 0.000802  0.00101  0.00119  0.00134  0.00143  0.00146  0.00146
        2|-0.000461-0.000461-0.000451-0.000412-0.000344-0.000247-0.000122  2.9e-05 0.000202 0.000393 0.000592 0.000792 0.000981  0.00115  0.00128  0.00136  0.00139  0.00139
        1|-0.000448-0.000448-0.000438-0.000399 -0.00033-0.000232-0.000107 4.31e-05 0.000214 0.000402 0.000597 0.000791 0.000974  0.00113  0.00126  0.00134  0.00136  0.00136
        0|-0.000448-0.000448-0.000438-0.000399 -0.00033-0.000232-0.000107 4.31e-05 0.000214 0.000402 0.000597 0.000791 0.000974  0.00113  0.00126  0.00134  0.00136  0.00136

