nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00649 -0.00649 -0.00238 -0.00173 -0.00172 -0.00189 -0.00217 -0.00258 -0.00315 -0.00397  -0.0052 -0.00705 -0.00938  -0.0104 -0.00234   0.0265   0.0764   0.0764
       16| -0.00649 -0.00649 -0.00238 -0.00173 -0.00172 -0.00189 -0.00217 -0.00258 -0.00315 -0.00397  -0.0052 -0.00705 -0.00938  -0.0104 -0.00234   0.0265   0.0764   0.0764
       15| -0.00342 -0.00342 -0.00303 -0.00263 -0.00246 -0.00248 -0.00266   -0.003 -0.00351 -0.00429 -0.00552 -0.00751  -0.0106  -0.0146   -0.015-0.000121   0.0291   0.0291
       14| -0.00246 -0.00246 -0.00238 -0.00225 -0.00224 -0.00234 -0.00256 -0.00291 -0.00345 -0.00426 -0.00555 -0.00771  -0.0112  -0.0162    -0.02  -0.0145-0.000605-0.000605
       13| -0.00187 -0.00187 -0.00188 -0.00188 -0.00193 -0.00207 -0.00229 -0.00264 -0.00315 -0.00392 -0.00513 -0.00717  -0.0106  -0.0156  -0.0195  -0.0163 -0.00859 -0.00859
       12| -0.00142 -0.00142 -0.00146  -0.0015 -0.00158 -0.00172 -0.00192 -0.00221 -0.00262 -0.00322 -0.00413  -0.0056   -0.008  -0.0112  -0.0134  -0.0107 -0.00596 -0.00596
       11| -0.00105 -0.00105 -0.00109 -0.00114 -0.00121 -0.00132 -0.00147 -0.00167 -0.00194 -0.00229 -0.00279 -0.00351 -0.00453 -0.00566  -0.0058  -0.0031 0.000271 0.000271
       10|-0.000709-0.000709-0.000745-0.000785-0.000838-0.000906-0.000991 -0.00109  -0.0012 -0.00132 -0.00144 -0.00152 -0.00151 -0.00118 9.22e-05  0.00278  0.00526  0.00526
        9|-0.000399-0.000399-0.000428-0.000453-0.000479-0.000504-0.000524-0.000531-0.000512-0.000444 -0.00029 1.08e-05  0.00056  0.00158  0.00318  0.00535  0.00706  0.00706
        8| -0.00012 -0.00012 -0.00014-0.000149-0.000148-0.000134-9.97e-05-3.32e-05  8.3e-05 0.000275 0.000582  0.00106   0.0018  0.00285   0.0042  0.00562  0.00662  0.00662
        7| 0.000127 0.000127 0.000115 0.000121 0.000144  0.00019 0.000266 0.000384 0.000562 0.000821  0.00119  0.00171  0.00242   0.0033  0.00427  0.00514  0.00566  0.00566
        6| 0.000339 0.000339 0.000334 0.000351 0.000392 0.000461 0.000566 0.000717 0.000928  0.00121   0.0016  0.00209   0.0027  0.00339  0.00407  0.00461  0.00487  0.00487
        5| 0.000513 0.000513 0.000513 0.000539 0.000592 0.000678 0.000801 0.000971   0.0012  0.00149  0.00185  0.00229   0.0028  0.00333  0.00382  0.00418  0.00433  0.00433
        4| 0.000647 0.000647  0.00065 0.000683 0.000746 0.000842 0.000976  0.00115  0.00138  0.00167  0.00201   0.0024  0.00282  0.00324  0.00361  0.00386  0.00396  0.00396
        3| 0.000739 0.000739 0.000746 0.000783 0.000852 0.000955   0.0011  0.00128  0.00151  0.00178   0.0021  0.00245  0.00281  0.00316  0.00345  0.00365  0.00372  0.00372
        2|  0.00079  0.00079 0.000799 0.000839 0.000912  0.00102  0.00117  0.00135  0.00158  0.00185  0.00215  0.00247   0.0028  0.00311  0.00336  0.00353  0.00358  0.00358
        1| 0.000802 0.000802 0.000812 0.000853 0.000929  0.00104  0.00119  0.00138  0.00161  0.00187  0.00217  0.00249   0.0028  0.00309  0.00333  0.00348  0.00354  0.00354
        0| 0.000802 0.000802 0.000812 0.000853 0.000929  0.00104  0.00119  0.00138  0.00161  0.00187  0.00217  0.00249   0.0028  0.00309  0.00333  0.00348  0.00354  0.00354

