nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0064  -0.0064  -0.0023 -0.00169  -0.0017 -0.00189  -0.0022 -0.00263 -0.00322 -0.00405 -0.00531 -0.00721 -0.00978  -0.0115 -0.00422   0.0244   0.0745   0.0745
       16|  -0.0064  -0.0064  -0.0023 -0.00169  -0.0017 -0.00189  -0.0022 -0.00263 -0.00322 -0.00405 -0.00531 -0.00721 -0.00978  -0.0115 -0.00422   0.0244   0.0745   0.0745
       15| -0.00334 -0.00334 -0.00297 -0.00259 -0.00244 -0.00248 -0.00267 -0.00302 -0.00354 -0.00432 -0.00554 -0.00753  -0.0108  -0.0155  -0.0169 -0.00241    0.027    0.027
       14| -0.00239 -0.00239 -0.00232  -0.0022  -0.0022 -0.00231 -0.00253 -0.00289 -0.00341 -0.00418  -0.0054 -0.00744  -0.0109  -0.0162  -0.0206  -0.0152-0.000995-0.000995
       13|  -0.0018  -0.0018 -0.00182 -0.00182 -0.00188 -0.00201 -0.00223 -0.00256 -0.00303 -0.00372 -0.00477 -0.00651 -0.00944  -0.0138  -0.0174  -0.0143 -0.00664 -0.00664
       12| -0.00137 -0.00137 -0.00141 -0.00145 -0.00153 -0.00165 -0.00184  -0.0021 -0.00246 -0.00295 -0.00365 -0.00472 -0.00638 -0.00855  -0.0099 -0.00714 -0.00251 -0.00251
       11| -0.00101 -0.00101 -0.00105  -0.0011 -0.00117 -0.00126 -0.00139 -0.00156 -0.00177 -0.00202 -0.00233 -0.00271 -0.00315 -0.00343 -0.00273 0.000115   0.0033   0.0033
       10|-0.000688-0.000688-0.000725-0.000763-0.000811 -0.00087-0.000937 -0.00101 -0.00107 -0.00112 -0.00111-0.000994-0.000668 0.000115  0.00169  0.00424  0.00646  0.00646
        9|-0.000403-0.000403-0.000431-0.000455-0.000477-0.000496-0.000505-0.000493-0.000446-0.000336-0.000121 0.000261 0.000917  0.00198  0.00349  0.00529  0.00665  0.00665
        8|-0.000148-0.000148-0.000168-0.000177-0.000175-0.000159 -0.00012-4.59e-05 8.02e-05 0.000284 0.000602  0.00108  0.00179  0.00274  0.00387  0.00498   0.0057   0.0057
        7| 7.46e-05 7.46e-05 6.19e-05 6.61e-05 8.77e-05 0.000132 0.000206 0.000322 0.000494 0.000744   0.0011  0.00158   0.0022  0.00296  0.00375  0.00442  0.00478  0.00478
        6| 0.000264 0.000264 0.000257 0.000272 0.000309 0.000372  0.00047  0.00061 0.000806  0.00107  0.00141  0.00185  0.00238  0.00295   0.0035  0.00392  0.00412  0.00412
        5| 0.000418 0.000418 0.000416 0.000438 0.000486 0.000563 0.000675 0.000828  0.00103  0.00129  0.00161    0.002  0.00243  0.00287  0.00326  0.00355  0.00366  0.00366
        4| 0.000536 0.000536 0.000537 0.000565  0.00062 0.000706 0.000826 0.000985  0.00119  0.00144  0.00173  0.00207  0.00242  0.00277  0.00307  0.00328  0.00335  0.00335
        3| 0.000617 0.000617 0.000621 0.000653 0.000713 0.000804 0.000929  0.00109  0.00129  0.00153   0.0018   0.0021  0.00241   0.0027  0.00294   0.0031  0.00315  0.00315
        2| 0.000661 0.000661 0.000667 0.000702 0.000765  0.00086 0.000989  0.00115  0.00135  0.00158  0.00184  0.00212   0.0024  0.00265  0.00286    0.003  0.00304  0.00304
        1|  0.00067  0.00067 0.000677 0.000713 0.000779 0.000877  0.00101  0.00117  0.00137   0.0016  0.00186  0.00213   0.0024  0.00264  0.00284  0.00296    0.003    0.003
        0|  0.00067  0.00067 0.000677 0.000713 0.000779 0.000877  0.00101  0.00117  0.00137   0.0016  0.00186  0.00213   0.0024  0.00264  0.00284  0.00296    0.003    0.003

