nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00729 -0.00729 -0.00348 -0.00325 -0.00359 -0.00402 -0.00445 -0.00485 -0.00523 -0.00564 -0.00621 -0.00724 -0.00889 -0.00902 -0.00205   0.0203   0.0591   0.0591
       16| -0.00729 -0.00729 -0.00348 -0.00325 -0.00359 -0.00402 -0.00445 -0.00485 -0.00523 -0.00564 -0.00621 -0.00724 -0.00889 -0.00902 -0.00205   0.0203   0.0591   0.0591
       15| -0.00442 -0.00442  -0.0042 -0.00409 -0.00415 -0.00434 -0.00459 -0.00484 -0.00509  -0.0054 -0.00587  -0.0068 -0.00863  -0.0112  -0.0101  0.00146   0.0232   0.0232
       14| -0.00341 -0.00341 -0.00345 -0.00349 -0.00361 -0.00378 -0.00396 -0.00415 -0.00434 -0.00456 -0.00489 -0.00548 -0.00654 -0.00806 -0.00831 -0.00216  0.00841  0.00841
       13|  -0.0028  -0.0028 -0.00287 -0.00294 -0.00305 -0.00317  -0.0033 -0.00341 -0.00351  -0.0036 -0.00369  -0.0038 -0.00392 -0.00381 -0.00255  0.00166  0.00689  0.00689
       12| -0.00234 -0.00234  -0.0024 -0.00247 -0.00255 -0.00262 -0.00269 -0.00272 -0.00272 -0.00266 -0.00252 -0.00225 -0.00175-0.000725   0.0012   0.0043  0.00714  0.00714
       11| -0.00196 -0.00196 -0.00201 -0.00206  -0.0021 -0.00213 -0.00214  -0.0021 -0.00201 -0.00184 -0.00155 -0.00108-0.000314 0.000868  0.00256  0.00458  0.00612  0.00612
       10| -0.00164 -0.00164 -0.00167  -0.0017 -0.00172 -0.00171 -0.00167 -0.00158 -0.00143 -0.00119-0.000821-0.000285 0.000475   0.0015  0.00273  0.00395  0.00473  0.00473
        9| -0.00136 -0.00136 -0.00138 -0.00139 -0.00138 -0.00135 -0.00128 -0.00115-0.000966-0.000695-0.000318 0.000194 0.000852  0.00165   0.0025  0.00323  0.00363  0.00363
        8| -0.00112 -0.00112 -0.00114 -0.00113 -0.00111 -0.00105-0.000958-0.000817-0.000616-0.000344 1.21e-05 0.000461 0.000998  0.00159  0.00218  0.00263  0.00285  0.00285
        7|-0.000918-0.000918-0.000928-0.000916-0.000878 -0.00081-0.000706-0.000558-0.000359-0.000102 0.000218 0.000599  0.00103  0.00147  0.00188  0.00218   0.0023   0.0023
        6|-0.000753-0.000753-0.000758-0.000739-0.000694 -0.00062-0.000511-0.000364-0.000174 6.16e-05 0.000342 0.000661    0.001  0.00134  0.00163  0.00184  0.00192  0.00192
        5|-0.000622-0.000622-0.000624-0.000601-0.000552-0.000474-0.000365-0.000222-4.42e-05 0.000169 0.000415 0.000683 0.000958  0.00122  0.00144  0.00159  0.00164  0.00164
        4|-0.000524-0.000524-0.000523-0.000497-0.000446-0.000367 -0.00026-0.000123 4.43e-05 0.000239 0.000456 0.000686 0.000915  0.00113   0.0013  0.00141  0.00145  0.00145
        3|-0.000457-0.000457-0.000454-0.000427-0.000374-0.000295-0.000189-5.64e-05 0.000102 0.000282 0.000479 0.000683 0.000882  0.00106   0.0012  0.00129  0.00133  0.00133
        2|-0.000421-0.000421-0.000417-0.000388-0.000334-0.000254-0.000148-1.79e-05 0.000135 0.000308 0.000492 0.000681 0.000862  0.00102  0.00115  0.00123  0.00126  0.00126
        1|-0.000414-0.000414-0.000409-0.000379-0.000323-0.000242-0.000135-4.26e-06 0.000149 0.000319   0.0005 0.000684 0.000858  0.00101  0.00113  0.00121  0.00123  0.00123
        0|-0.000414-0.000414-0.000409-0.000379-0.000323-0.000242-0.000135-4.26e-06 0.000149 0.000319   0.0005 0.000684 0.000858  0.00101  0.00113  0.00121  0.00123  0.00123

