nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00689 -0.00689 -0.00297  -0.0026 -0.00285 -0.00324 -0.00369 -0.00418 -0.00472 -0.00536 -0.00624 -0.00763 -0.00987  -0.0111 -0.00429   0.0204   0.0634   0.0634
       16| -0.00689 -0.00689 -0.00297  -0.0026 -0.00285 -0.00324 -0.00369 -0.00418 -0.00472 -0.00536 -0.00624 -0.00763 -0.00987  -0.0111 -0.00429   0.0204   0.0634   0.0634
       15| -0.00398 -0.00398  -0.0037  -0.0035 -0.00351 -0.00369 -0.00396 -0.00431 -0.00474 -0.00527 -0.00604 -0.00736 -0.00985  -0.0136  -0.0138 -0.00126   0.0233   0.0233
       14| -0.00302 -0.00302 -0.00302 -0.00301 -0.00311 -0.00328 -0.00352 -0.00381 -0.00415 -0.00459 -0.00522 -0.00625 -0.00807  -0.0109  -0.0126 -0.00644  0.00562  0.00562
       13| -0.00244 -0.00244 -0.00249 -0.00255 -0.00266  -0.0028 -0.00298 -0.00319 -0.00343 -0.00372 -0.00408 -0.00458  -0.0053 -0.00609 -0.00586 -0.00172  0.00431  0.00431
       12| -0.00201 -0.00201 -0.00208 -0.00214 -0.00223 -0.00233 -0.00245 -0.00257 -0.00269 -0.00279 -0.00287 -0.00287 -0.00272 -0.00214-0.000522  0.00279  0.00617  0.00617
       11| -0.00167 -0.00167 -0.00172 -0.00178 -0.00184  -0.0019 -0.00195 -0.00199   -0.002 -0.00194  -0.0018 -0.00149-0.000891 0.000189  0.00194  0.00429  0.00621  0.00621
       10| -0.00137 -0.00137 -0.00142 -0.00145 -0.00148 -0.00151 -0.00151 -0.00148  -0.0014 -0.00124-0.000966-0.000515 0.000197  0.00124   0.0026  0.00405  0.00506  0.00506
        9| -0.00112 -0.00112 -0.00115 -0.00117 -0.00118 -0.00117 -0.00113 -0.00105-0.000915-0.000699-0.000374 0.000102 0.000757   0.0016  0.00255  0.00341  0.00391  0.00391
        8|  -0.0009  -0.0009-0.000921-0.000926-0.000914 -0.00088-0.000814-0.000706-0.000542-0.000305 2.32e-05  0.00046  0.00101  0.00164  0.00229  0.00282  0.00308  0.00308
        7|-0.000713-0.000713-0.000727-0.000722-0.000696-0.000645-0.000562-0.000438-0.000263-2.82e-05 0.000277 0.000655   0.0011  0.00157  0.00202  0.00235   0.0025   0.0025
        6|-0.000558-0.000558-0.000567-0.000554-0.000519-0.000458-0.000366-0.000236-6.21e-05  0.00016 0.000433 0.000752   0.0011  0.00146  0.00178    0.002  0.00209  0.00209
        5|-0.000435-0.000435 -0.00044-0.000422-0.000381-0.000314-0.000217-8.72e-05 7.96e-05 0.000284 0.000526 0.000796  0.00108  0.00135  0.00159  0.00175   0.0018   0.0018
        4|-0.000343-0.000343-0.000344-0.000323-0.000279-0.000208 -0.00011 1.77e-05 0.000176 0.000365  0.00058 0.000812  0.00105  0.00127  0.00145  0.00157  0.00161  0.00161
        3| -0.00028 -0.00028 -0.00028-0.000256-0.000209-0.000137-3.83e-05 8.73e-05 0.000239 0.000416 0.000611 0.000817  0.00102  0.00121  0.00135  0.00145  0.00148  0.00148
        2|-0.000247-0.000247-0.000245 -0.00022 -0.00017-9.64e-05 2.94e-06 0.000128 0.000276 0.000445 0.000629 0.000819    0.001  0.00117   0.0013  0.00138  0.00141  0.00141
        1|-0.000242-0.000242-0.000239-0.000212-0.000161-8.54e-05 1.58e-05 0.000142  0.00029 0.000458 0.000639 0.000824    0.001  0.00116  0.00128  0.00136  0.00139  0.00139
        0|-0.000242-0.000242-0.000239-0.000212-0.000161-8.54e-05 1.58e-05 0.000142  0.00029 0.000458 0.000639 0.000824    0.001  0.00116  0.00128  0.00136  0.00139  0.00139

