nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0104  -0.0104 -0.00699 -0.00698 -0.00716 -0.00711 -0.00679 -0.00627 -0.00562 -0.00493 -0.00429 -0.00371 -0.00276-0.000525  0.00541     0.02   0.0457   0.0457
       16|  -0.0104  -0.0104 -0.00699 -0.00698 -0.00716 -0.00711 -0.00679 -0.00627 -0.00562 -0.00493 -0.00429 -0.00371 -0.00276-0.000525  0.00541     0.02   0.0457   0.0457
       15|  -0.0073  -0.0073 -0.00726  -0.0072 -0.00707  -0.0068 -0.00639 -0.00582 -0.00516 -0.00446 -0.00379 -0.00322 -0.00271 -0.00178 0.000974  0.00892   0.0224   0.0224
       14| -0.00581 -0.00581 -0.00591 -0.00592 -0.00585 -0.00564 -0.00528  -0.0048  -0.0042 -0.00353  -0.0028 -0.00202 -0.00112 0.000145   0.0025  0.00733   0.0134   0.0134
       13| -0.00482 -0.00482 -0.00489 -0.00489  -0.0048  -0.0046 -0.00428 -0.00384 -0.00329 -0.00262 -0.00185-0.000927  0.00024  0.00184  0.00418  0.00744   0.0104   0.0104
       12| -0.00404 -0.00404 -0.00408 -0.00405 -0.00395 -0.00375 -0.00345 -0.00303  -0.0025 -0.00185 -0.00108-0.000128  0.00106  0.00257  0.00445  0.00652  0.00802  0.00802
       11|  -0.0034  -0.0034 -0.00342 -0.00337 -0.00325 -0.00305 -0.00276 -0.00236 -0.00186 -0.00125-0.000517 0.000367  0.00142  0.00266  0.00402   0.0053  0.00608  0.00608
       10| -0.00286 -0.00286 -0.00286  -0.0028 -0.00268 -0.00248  -0.0022 -0.00183 -0.00136-0.000806-0.000142  0.00063  0.00151  0.00247  0.00343  0.00423  0.00466  0.00466
        9| -0.00241 -0.00241  -0.0024 -0.00233 -0.00221 -0.00201 -0.00175 -0.00141-0.000989-0.000489 8.99e-05 0.000742  0.00145  0.00218  0.00286  0.00338  0.00364  0.00364
        8| -0.00203 -0.00203 -0.00202 -0.00195 -0.00182 -0.00164  -0.0014 -0.00109-0.000711-0.000273 0.000223 0.000765  0.00133  0.00189  0.00238  0.00273   0.0029   0.0029
        7| -0.00172 -0.00172  -0.0017 -0.00164 -0.00152 -0.00135 -0.00112-0.000842-0.000509-0.000128 0.000293  0.00074  0.00119  0.00162  0.00199  0.00224  0.00235  0.00235
        6| -0.00147 -0.00147 -0.00145 -0.00139 -0.00128 -0.00112-0.000911-0.000659-0.000365-3.41e-05 0.000324 0.000696  0.00106   0.0014  0.00168  0.00187  0.00195  0.00195
        5| -0.00127 -0.00127 -0.00125 -0.00119 -0.00109-0.000941-0.000753-0.000526-0.000264 2.59e-05 0.000334 0.000648  0.00095  0.00122  0.00144  0.00159  0.00165  0.00165
        4| -0.00112 -0.00112  -0.0011 -0.00105-0.000948-0.000811-0.000638 -0.00043-0.000194 6.34e-05 0.000334 0.000604 0.000861  0.00109  0.00127  0.00139  0.00143  0.00143
        3| -0.00102 -0.00102   -0.001-0.000945-0.000852-0.000722-0.000559-0.000366-0.000149 8.63e-05  0.00033 0.000571 0.000797 0.000994  0.00115  0.00125  0.00129  0.00129
        2|-0.000959-0.000959 -0.00094-0.000885-0.000794-0.000669-0.000513-0.000328-0.000122 9.95e-05 0.000327  0.00055 0.000758 0.000938  0.00108  0.00117  0.00121  0.00121
        1|-0.000938-0.000938 -0.00092-0.000865-0.000774 -0.00065-0.000495-0.000313-0.000111 0.000106 0.000327 0.000544 0.000745 0.000918  0.00105  0.00114  0.00117  0.00117
        0|-0.000938-0.000938 -0.00092-0.000865-0.000774 -0.00065-0.000495-0.000313-0.000111 0.000106 0.000327 0.000544 0.000745 0.000918  0.00105  0.00114  0.00117  0.00117

