nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|   -0.017   -0.017   -0.013  -0.0115 -0.00999 -0.00835 -0.00669 -0.00505 -0.00347 -0.00193-0.000346  0.00135  0.00329  0.00593   0.0103   0.0188    0.034    0.034
       16|   -0.017   -0.017   -0.013  -0.0115 -0.00999 -0.00835 -0.00669 -0.00505 -0.00347 -0.00193-0.000346  0.00135  0.00329  0.00593   0.0103   0.0188    0.034    0.034
       15|  -0.0124  -0.0124  -0.0118  -0.0106 -0.00923 -0.00772 -0.00618 -0.00466 -0.00316 -0.00168-0.000191  0.00137  0.00309  0.00515  0.00805    0.013   0.0203   0.0203
       14| -0.00957 -0.00957 -0.00932 -0.00864 -0.00767 -0.00651 -0.00526 -0.00395 -0.00261 -0.00124 0.000177  0.00169  0.00338  0.00537  0.00787   0.0111   0.0142   0.0142
       13|  -0.0077  -0.0077 -0.00752 -0.00705 -0.00632 -0.00542 -0.00439 -0.00327 -0.00209-0.000846 0.000465  0.00187  0.00342  0.00517  0.00713  0.00918   0.0107   0.0107
       12| -0.00629 -0.00629 -0.00615 -0.00578 -0.00521 -0.00448 -0.00362 -0.00267 -0.00163-0.000532 0.000639  0.00189  0.00322  0.00464  0.00609  0.00738  0.00818  0.00818
       11| -0.00518 -0.00518 -0.00506 -0.00476  -0.0043  -0.0037 -0.00298 -0.00216 -0.00126-0.000302 0.000717  0.00179   0.0029  0.00401  0.00507  0.00592  0.00639  0.00639
       10| -0.00429 -0.00429 -0.00419 -0.00394 -0.00356 -0.00305 -0.00244 -0.00174-0.000971-0.000144 0.000727  0.00163  0.00253   0.0034  0.00418  0.00477  0.00507  0.00507
        9| -0.00357 -0.00357 -0.00348 -0.00328 -0.00295 -0.00252   -0.002 -0.00141-0.000747-4.09e-05 0.000696  0.00144  0.00218  0.00286  0.00345  0.00387  0.00407  0.00407
        8| -0.00299 -0.00299 -0.00291 -0.00274 -0.00246 -0.00209 -0.00165 -0.00114-0.000578 2.23e-05 0.000643  0.00126  0.00186   0.0024  0.00285  0.00317  0.00332  0.00332
        7| -0.00252 -0.00252 -0.00246  -0.0023 -0.00207 -0.00175 -0.00137-0.000933-0.000452 5.87e-05 0.000582   0.0011  0.00159  0.00203  0.00238  0.00262  0.00274  0.00274
        6| -0.00215 -0.00215 -0.00209 -0.00196 -0.00176 -0.00148 -0.00115-0.000774 -0.00036 7.78e-05 0.000523 0.000958  0.00136  0.00172  0.00201   0.0022  0.00229  0.00229
        5| -0.00186 -0.00186 -0.00181 -0.00169 -0.00151 -0.00127-0.000985-0.000654-0.000293 8.65e-05  0.00047 0.000842  0.00119  0.00148  0.00172  0.00188  0.00195  0.00195
        4| -0.00165 -0.00165  -0.0016 -0.00149 -0.00133 -0.00112-0.000861-0.000566-0.000246 8.95e-05 0.000426 0.000751  0.00105  0.00131  0.00151  0.00164   0.0017   0.0017
        3| -0.00149 -0.00149 -0.00145 -0.00135 -0.00121 -0.00101-0.000774-0.000505-0.000214 8.99e-05 0.000394 0.000685 0.000951  0.00118  0.00136  0.00148  0.00153  0.00153
        2|  -0.0014  -0.0014 -0.00136 -0.00127 -0.00113-0.000943 -0.00072-0.000468-0.000194 8.97e-05 0.000373 0.000644  0.00089   0.0011  0.00126  0.00137  0.00142  0.00142
        1| -0.00136 -0.00136 -0.00132 -0.00123 -0.00109-0.000914-0.000697-0.000452-0.000186 8.98e-05 0.000364 0.000627 0.000865  0.00107  0.00123  0.00133  0.00138  0.00138
        0| -0.00136 -0.00136 -0.00132 -0.00123 -0.00109-0.000914-0.000697-0.000452-0.000186 8.98e-05 0.000364 0.000627 0.000865  0.00107  0.00123  0.00133  0.00138  0.00138

