nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0231  -0.0169  -0.0133  -0.0104 -0.00789 -0.00571 -0.00374 -0.00188-5.58e-05  0.00179  0.00375  0.00595  0.00864   0.0123   0.0182   0.0284
       15|  -0.0165  -0.0145   -0.012 -0.00957 -0.00739 -0.00539 -0.00353 -0.00176-1.58e-05  0.00175   0.0036  0.00563  0.00795   0.0108   0.0144   0.0188
       14|  -0.0125  -0.0115    -0.01 -0.00828 -0.00653 -0.00482 -0.00317 -0.00154  7.2e-05  0.00172  0.00343  0.00527  0.00727  0.00949   0.0118   0.0138
       13| -0.00985  -0.0093 -0.00829 -0.00702 -0.00564 -0.00421 -0.00277 -0.00132 0.000132  0.00161  0.00314  0.00473  0.00637  0.00802  0.00954   0.0105
       12| -0.00793 -0.00757 -0.00685  -0.0059  -0.0048 -0.00362 -0.00238 -0.00112 0.000161  0.00146  0.00278  0.00411  0.00543  0.00665  0.00766  0.00824
       11| -0.00647 -0.00621 -0.00568 -0.00494 -0.00406 -0.00308 -0.00203-0.000944 0.000166  0.00129  0.00241  0.00351  0.00455  0.00547  0.00618  0.00656
       10| -0.00533 -0.00513 -0.00472 -0.00413 -0.00342  -0.0026 -0.00172-0.000795 0.000155  0.00111  0.00205  0.00296  0.00379  0.00449  0.00501  0.00528
        9| -0.00442 -0.00426 -0.00394 -0.00347 -0.00288  -0.0022 -0.00146-0.000674 0.000134 0.000943  0.00173  0.00248  0.00314   0.0037  0.00409  0.00428
        8|  -0.0037 -0.00357 -0.00331 -0.00292 -0.00244 -0.00187 -0.00124-0.000577 0.000108 0.000792  0.00145  0.00207  0.00261  0.00305  0.00336  0.00351
        7| -0.00313 -0.00302 -0.00281 -0.00249 -0.00208  -0.0016 -0.00107  -0.0005 8.18e-05 0.000661  0.00122  0.00173  0.00218  0.00253  0.00278   0.0029
        6| -0.00268 -0.00259 -0.00241 -0.00214 -0.00179 -0.00138-0.000926-0.000441 5.73e-05 0.000552  0.00102  0.00146  0.00183  0.00213  0.00233  0.00243
        5| -0.00233 -0.00225  -0.0021 -0.00186 -0.00156 -0.00121-0.000817-0.000396  3.6e-05 0.000463  0.00087  0.00124  0.00156  0.00181  0.00198  0.00206
        4| -0.00206   -0.002 -0.00186 -0.00166 -0.00139 -0.00108-0.000734-0.000363 1.86e-05 0.000395 0.000753  0.00108  0.00135  0.00157  0.00172  0.00179
        3| -0.00188 -0.00182  -0.0017 -0.00151 -0.00127-0.000991-0.000676-0.000339 5.61e-06 0.000346 0.000668 0.000959  0.00121   0.0014  0.00153   0.0016
        2| -0.00176 -0.00171 -0.00159 -0.00142  -0.0012-0.000933-0.000639-0.000325-2.87e-06 0.000314 0.000614 0.000885  0.00112   0.0013  0.00142  0.00147
        1| -0.00171 -0.00165 -0.00154 -0.00138 -0.00116-0.000906-0.000622-0.000318-6.76e-06   0.0003  0.00059 0.000851  0.00107  0.00125  0.00136  0.00142

