nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21| -0.00854 -0.00854 -0.00306 -0.00204 -0.00186  -0.0019 -0.00206 -0.00228 -0.00258 -0.00298  -0.0035 -0.00418 -0.00509 -0.00633 -0.00799 -0.00991  -0.0111 -0.00762  0.00853    0.049    0.112    0.112
       20| -0.00854 -0.00854 -0.00306 -0.00204 -0.00186  -0.0019 -0.00206 -0.00228 -0.00258 -0.00298  -0.0035 -0.00418 -0.00509 -0.00633 -0.00799 -0.00991  -0.0111 -0.00762  0.00853    0.049    0.112    0.112
       19| -0.00449 -0.00449 -0.00383 -0.00318 -0.00282 -0.00267  -0.0027 -0.00281 -0.00304 -0.00338 -0.00386  -0.0045  -0.0054 -0.00665  -0.0084  -0.0107  -0.0133  -0.0144 -0.00769   0.0157   0.0527   0.0527
       18| -0.00323 -0.00323 -0.00306 -0.00279 -0.00263 -0.00258 -0.00265  -0.0028 -0.00304  -0.0034  -0.0039 -0.00458 -0.00554 -0.00689 -0.00886  -0.0116   -0.015  -0.0176  -0.0161  -0.0055   0.0114   0.0114
       17| -0.00251 -0.00251 -0.00248 -0.00239 -0.00234 -0.00236 -0.00246 -0.00264  -0.0029 -0.00327 -0.00379  -0.0045 -0.00551 -0.00701 -0.00927  -0.0126   -0.017  -0.0211  -0.0219  -0.0167 -0.00775 -0.00775
       16| -0.00201 -0.00201 -0.00203 -0.00201 -0.00203 -0.00209  -0.0022 -0.00239 -0.00265 -0.00302 -0.00351  -0.0042  -0.0052 -0.00671 -0.00911  -0.0129   -0.018  -0.0231  -0.0247  -0.0201  -0.0139  -0.0139
       15|  -0.0016  -0.0016 -0.00163 -0.00165  -0.0017 -0.00177 -0.00189 -0.00207 -0.00231 -0.00263 -0.00306 -0.00367 -0.00454 -0.00587 -0.00801  -0.0114  -0.0162  -0.0207  -0.0216  -0.0172  -0.0122  -0.0122
       14| -0.00124 -0.00124 -0.00127 -0.00131 -0.00136 -0.00143 -0.00154 -0.00169 -0.00188 -0.00213 -0.00247 -0.00293 -0.00357 -0.00453 -0.00606 -0.00844  -0.0116  -0.0145  -0.0144  -0.0101 -0.00614 -0.00614
       13|-0.000902-0.000902-0.000935-0.000969 -0.00102 -0.00108 -0.00116 -0.00127  -0.0014 -0.00157 -0.00179 -0.00207 -0.00244 -0.00295 -0.00372 -0.00484 -0.00623 -0.00714 -0.00591 -0.00206  0.00099  0.00099
       12|-0.000588-0.000588-0.000616-0.000645-0.000679-0.000721-0.000773-0.000835-0.000907-0.000989 -0.00108 -0.00118 -0.00129 -0.00141 -0.00154 -0.00166 -0.00163-0.000972 0.000979   0.0042  0.00637  0.00637
       11|-0.000292-0.000292-0.000316-0.000335-0.000354-0.000374-0.000393 -0.00041-0.000421-0.000421-0.000403-0.000354-0.000259-8.78e-05 0.000201  0.00068  0.00151  0.00287  0.00489  0.00728  0.00871  0.00871
       10|-1.66e-05-1.66e-05 -3.5e-05-4.48e-05-4.86e-05-4.59e-05-3.42e-05 -9.9e-06 3.26e-05 0.000101 0.000207 0.000367 0.000604 0.000953  0.00146   0.0022  0.00326  0.00465  0.00627   0.0078  0.00864  0.00864
        9| 0.000236 0.000236 0.000223 0.000222 0.000232 0.000255 0.000294 0.000353 0.000438 0.000559 0.000728 0.000961  0.00128  0.00172   0.0023  0.00309  0.00408  0.00522  0.00637  0.00727  0.00771  0.00771
        8| 0.000463 0.000463 0.000454 0.000462 0.000485 0.000525 0.000585 0.000671 0.000789 0.000947  0.00116  0.00143  0.00179  0.00225  0.00283  0.00355  0.00438  0.00526  0.00605  0.00661  0.00682  0.00682
        7| 0.000663 0.000663 0.000657 0.000671 0.000704 0.000758 0.000836 0.000942  0.00108  0.00126   0.0015  0.00179  0.00215   0.0026  0.00314  0.00377  0.00444  0.00511  0.00567  0.00603  0.00616  0.00616
        6| 0.000832 0.000832 0.000829 0.000849  0.00089 0.000954  0.00104  0.00116  0.00132  0.00151  0.00176  0.00205  0.00241  0.00283  0.00332  0.00385  0.00439  0.00491  0.00533  0.00558  0.00566  0.00566
        5| 0.000969 0.000969 0.000969 0.000993  0.00104  0.00111  0.00121  0.00134   0.0015  0.00171  0.00195  0.00225  0.00259  0.00298  0.00341  0.00386  0.00431  0.00472  0.00505  0.00524   0.0053   0.0053
