nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0242  -0.0242  -0.0187  -0.0165  -0.0144  -0.0123  -0.0102 -0.00824 -0.00641 -0.00468 -0.00302 -0.00141 0.000198  0.00184  0.00356  0.00546  0.00773   0.0109   0.0161   0.0259   0.0436   0.0436
       20|  -0.0242  -0.0242  -0.0187  -0.0165  -0.0144  -0.0123  -0.0102 -0.00824 -0.00641 -0.00468 -0.00302 -0.00141 0.000198  0.00184  0.00356  0.00546  0.00773   0.0109   0.0161   0.0259   0.0436   0.0436
       19|  -0.0181  -0.0181   -0.017  -0.0154  -0.0135  -0.0115 -0.00963 -0.00782 -0.00609 -0.00443 -0.00283 -0.00127 0.000292  0.00188  0.00355  0.00535  0.00738  0.00986   0.0133   0.0191   0.0274   0.0274
       18|  -0.0143  -0.0143  -0.0139  -0.0129  -0.0116  -0.0101 -0.00857 -0.00702 -0.00549 -0.00398 -0.00249 -0.00101 0.000491  0.00204  0.00367  0.00543  0.00742  0.00978   0.0127   0.0164     0.02     0.02
       17|  -0.0118  -0.0118  -0.0115  -0.0109 -0.00991 -0.00877 -0.00751  -0.0062 -0.00486  -0.0035 -0.00214-0.000755 0.000656  0.00212  0.00366  0.00532  0.00714  0.00918   0.0115   0.0138   0.0155   0.0155
       16| -0.00989 -0.00989  -0.0097 -0.00921 -0.00848 -0.00757 -0.00654 -0.00542 -0.00425 -0.00304  -0.0018-0.000536 0.000765  0.00211  0.00352  0.00501  0.00659  0.00825  0.00992   0.0114   0.0123   0.0123
       15| -0.00838 -0.00838 -0.00823 -0.00784 -0.00726 -0.00652 -0.00566 -0.00471 -0.00368 -0.00261  -0.0015-0.000359  0.00082  0.00204  0.00329  0.00459  0.00591  0.00723  0.00846  0.00944  0.00997  0.00997
       14| -0.00714 -0.00714 -0.00702 -0.00671 -0.00623 -0.00562 -0.00489 -0.00407 -0.00318 -0.00223 -0.00124-0.000222 0.000831  0.00191  0.00301  0.00412  0.00521  0.00625  0.00717  0.00785   0.0082   0.0082
       13| -0.00612 -0.00612 -0.00601 -0.00575 -0.00536 -0.00484 -0.00422 -0.00351 -0.00273  -0.0019 -0.00103-0.000122 0.000809  0.00176  0.00271  0.00365  0.00455  0.00538  0.00608  0.00658  0.00681  0.00681
       12| -0.00526 -0.00526 -0.00517 -0.00495 -0.00461 -0.00417 -0.00364 -0.00302 -0.00235 -0.00162 -0.00085-5.15e-05 0.000766  0.00159  0.00241   0.0032  0.00395  0.00461  0.00516  0.00554  0.00571  0.00571
       11| -0.00454 -0.00454 -0.00446 -0.00427 -0.00399 -0.00361 -0.00314 -0.00261 -0.00202 -0.00138-0.000705-4.81e-06 0.000709  0.00142  0.00213   0.0028  0.00342  0.00396  0.00439  0.00469  0.00483  0.00483
       10| -0.00393 -0.00393 -0.00386  -0.0037 -0.00346 -0.00313 -0.00273 -0.00226 -0.00174 -0.00118-0.000589 2.44e-05 0.000647  0.00127  0.00187  0.00244  0.00296  0.00341  0.00376    0.004   0.0041   0.0041
        9| -0.00343 -0.00343 -0.00337 -0.00323 -0.00301 -0.00272 -0.00237 -0.00197 -0.00151 -0.00102-0.000497 4.11e-05 0.000585  0.00112  0.00164  0.00213  0.00257  0.00294  0.00323  0.00343  0.00351  0.00351
        8| -0.00301 -0.00301 -0.00295 -0.00283 -0.00264 -0.00239 -0.00208 -0.00172 -0.00132-0.000883-0.000424 4.93e-05 0.000527 0.000997  0.00145  0.00187  0.00224  0.00256   0.0028  0.00296  0.00303  0.00303
        7| -0.00266 -0.00266 -0.00261 -0.00251 -0.00234 -0.00211 -0.00184 -0.00152 -0.00116-0.000774-0.000367 5.21e-05 0.000473 0.000887  0.00128  0.00165  0.00197  0.00224  0.00245  0.00259  0.00265  0.00265
        6| -0.00238 -0.00238 -0.00234 -0.00224 -0.00209 -0.00189 -0.00164 -0.00135 -0.00103-0.000688-0.000323 5.15e-05 0.000427 0.000794  0.00114  0.00146  0.00175  0.00198  0.00216  0.00228  0.00233  0.00233
        5| -0.00216 -0.00216 -0.00212 -0.00203 -0.00189 -0.00171 -0.00149 -0.00123-0.000934 -0.00062 -0.00029 4.94e-05 0.000388 0.000719  0.00103  0.00132  0.00157  0.00178  0.00194  0.00204  0.00209  0.00209
        4| -0.00199 -0.00199 -0.00195 -0.00187 -0.00174 -0.00157 -0.00137 -0.00113-0.000859-0.000569-0.000265 4.67e-05 0.000358  0.00066 0.000946  0.00121  0.00144  0.00163  0.00177  0.00186  0.00191  0.00191
        3| -0.00187 -0.00187 -0.00183 -0.00176 -0.00164 -0.00148 -0.00128 -0.00106-0.000805-0.000533-0.000247 4.44e-05 0.000335 0.000618 0.000884  0.00113  0.00134  0.00152  0.00165  0.00174  0.00177  0.00177
        2| -0.00179 -0.00179 -0.00176 -0.00168 -0.00157 -0.00142 -0.00123 -0.00101-0.000771 -0.00051-0.000237 4.28e-05 0.000321 0.000591 0.000845  0.00108  0.00128  0.00145  0.00157  0.00166  0.00169  0.00169
        1| -0.00176 -0.00176 -0.00173 -0.00165 -0.00154 -0.00139 -0.00121-0.000994-0.000757-0.000501-0.000232 4.23e-05 0.000315  0.00058 0.000829  0.00106  0.00125  0.00142  0.00154  0.00162  0.00166  0.00166
        0| -0.00176 -0.00176 -0.00173 -0.00165 -0.00154 -0.00139 -0.00121-0.000994-0.000757-0.000501-0.000232 4.23e-05 0.000315  0.00058 0.000829  0.00106  0.00125  0.00142  0.00154  0.00162  0.00166  0.00166

