nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0355  -0.0355  -0.0259    -0.02  -0.0158  -0.0126 -0.00983 -0.00744 -0.00527 -0.00324 -0.00128 0.000648   0.0026  0.00462  0.00678  0.00916   0.0119   0.0152   0.0195   0.0257   0.0362   0.0362
       20|  -0.0355  -0.0355  -0.0259    -0.02  -0.0158  -0.0126 -0.00983 -0.00744 -0.00527 -0.00324 -0.00128 0.000648   0.0026  0.00462  0.00678  0.00916   0.0119   0.0152   0.0195   0.0257   0.0362   0.0362
       19|  -0.0258  -0.0258  -0.0221  -0.0183  -0.0149   -0.012 -0.00948 -0.00721 -0.00513 -0.00315 -0.00125 0.000632  0.00253   0.0045  0.00658  0.00884   0.0114   0.0143   0.0177   0.0218   0.0259   0.0259
       18|  -0.0201  -0.0201  -0.0183  -0.0159  -0.0134  -0.0111 -0.00886  -0.0068 -0.00486   -0.003 -0.00119 0.000604  0.00241  0.00427  0.00622  0.00828   0.0105   0.0129   0.0155   0.0181     0.02     0.02
       17|  -0.0162  -0.0162  -0.0153  -0.0137  -0.0118 -0.00995 -0.00809 -0.00627 -0.00451  -0.0028 -0.00112 0.000559  0.00225  0.00396  0.00573  0.00756  0.00946   0.0114   0.0133    0.015    0.016    0.016
       16|  -0.0134  -0.0134  -0.0128  -0.0117  -0.0103 -0.00882 -0.00726 -0.00569 -0.00412 -0.00257 -0.00103 0.000503  0.00205   0.0036  0.00518  0.00677  0.00836   0.0099   0.0113   0.0125   0.0131   0.0131
       15|  -0.0112  -0.0112  -0.0108    -0.01 -0.00896 -0.00775 -0.00645 -0.00509 -0.00372 -0.00234-0.000948  0.00044  0.00183  0.00322  0.00461  0.00598   0.0073  0.00854  0.00962   0.0104   0.0109   0.0109
       14| -0.00947 -0.00947 -0.00917 -0.00857 -0.00775 -0.00677 -0.00568 -0.00452 -0.00332  -0.0021-0.000865 0.000376  0.00162  0.00285  0.00406  0.00523  0.00633  0.00734  0.00818  0.00879  0.00912  0.00912
       13| -0.00807 -0.00807 -0.00783 -0.00736 -0.00671  -0.0059 -0.00499   -0.004 -0.00295 -0.00188-0.000786 0.000313  0.00141  0.00249  0.00354  0.00454  0.00547  0.00629  0.00696  0.00744  0.00769  0.00769
