nCells: 20x20, dx: 0.1, dy: 0.1

p (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|  -0.0111  -0.0111 -0.00626 -0.00599 -0.00638 -0.00676 -0.00698 -0.00703 -0.00689 -0.00658 -0.00614 -0.00562  -0.0051 -0.00468 -0.00451 -0.00467 -0.00458 -0.00238  0.00644   0.0303    0.071    0.071
       20|  -0.0111  -0.0111 -0.00626 -0.00599 -0.00638 -0.00676 -0.00698 -0.00703 -0.00689 -0.00658 -0.00614 -0.00562  -0.0051 -0.00468 -0.00451 -0.00467 -0.00458 -0.00238  0.00644   0.0303    0.071    0.071
       19| -0.00737 -0.00737 -0.00703 -0.00688 -0.00689 -0.00695 -0.00695 -0.00684 -0.00661 -0.00625 -0.00579 -0.00526 -0.00473 -0.00427 -0.00402 -0.00416 -0.00478   -0.005 -0.00185    0.011   0.0332   0.0332
       18| -0.00587 -0.00587 -0.00591 -0.00593 -0.00599 -0.00603 -0.00601 -0.00589 -0.00566 -0.00533 -0.00491 -0.00443 -0.00391 -0.00341 -0.00299 -0.00271 -0.00261  -0.0024-0.000445  0.00691   0.0175   0.0175
       17| -0.00495 -0.00495 -0.00503 -0.00509 -0.00513 -0.00514 -0.00509 -0.00496 -0.00474 -0.00443 -0.00403 -0.00356 -0.00303 -0.00245 -0.00184 -0.00115-0.000272  0.00111  0.00379  0.00877   0.0139   0.0139
       16| -0.00425 -0.00425 -0.00433 -0.00437 -0.00439 -0.00437  -0.0043 -0.00415 -0.00393 -0.00362 -0.00323 -0.00275  -0.0022 -0.00156-0.000796  0.00015  0.00141  0.00321  0.00581  0.00916   0.0119   0.0119
       15| -0.00367 -0.00367 -0.00373 -0.00375 -0.00375 -0.00371 -0.00361 -0.00345 -0.00322 -0.00291 -0.00252 -0.00205 -0.00148-0.000811  6.5e-06  0.00102  0.00231  0.00397  0.00599  0.00806  0.00946  0.00946
       14| -0.00318 -0.00318 -0.00321 -0.00322  -0.0032 -0.00314 -0.00303 -0.00286 -0.00262 -0.00231 -0.00193 -0.00147-0.000908-0.000242 0.000554  0.00151  0.00266    0.004  0.00543  0.00669  0.00741  0.00741
       13| -0.00274 -0.00274 -0.00277 -0.00276 -0.00272 -0.00265 -0.00253 -0.00235 -0.00211 -0.00181 -0.00144-0.000994-0.000463 0.000162 0.000891  0.00173  0.00269  0.00371  0.00471   0.0055   0.0059   0.0059
