nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00717 -0.00717 -0.00309 -0.00248  -0.0025  -0.0027 -0.00302 -0.00346 -0.00405  -0.0049 -0.00615 -0.00806  -0.0107  -0.0125 -0.00549    0.023    0.073    0.073
       16| -0.00717 -0.00717 -0.00309 -0.00248  -0.0025  -0.0027 -0.00302 -0.00346 -0.00405  -0.0049 -0.00615 -0.00806  -0.0107  -0.0125 -0.00549    0.023    0.073    0.073
       15| -0.00413 -0.00413 -0.00375 -0.00339 -0.00324 -0.00329 -0.00349 -0.00385 -0.00437 -0.00514 -0.00635 -0.00833  -0.0116  -0.0164  -0.0181 -0.00373   0.0256   0.0256
       14| -0.00317 -0.00317  -0.0031 -0.00299 -0.00299 -0.00311 -0.00334 -0.00369 -0.00421 -0.00497 -0.00615 -0.00814  -0.0116  -0.0168  -0.0214  -0.0159 -0.00165 -0.00165
       13| -0.00258 -0.00258  -0.0026 -0.00261 -0.00267 -0.00281 -0.00303 -0.00335 -0.00381 -0.00447 -0.00547  -0.0071 -0.00984  -0.0139  -0.0174  -0.0142 -0.00659 -0.00659
       12| -0.00216 -0.00216  -0.0022 -0.00224 -0.00232 -0.00245 -0.00263 -0.00288 -0.00322 -0.00368 -0.00432 -0.00528 -0.00672 -0.00857 -0.00959 -0.00676  -0.0022  -0.0022
       11|  -0.0018  -0.0018 -0.00185 -0.00189 -0.00196 -0.00206 -0.00218 -0.00234 -0.00253 -0.00276 -0.00302 -0.00331  -0.0036 -0.00367 -0.00274 0.000145  0.00326  0.00326
       10| -0.00149 -0.00149 -0.00153 -0.00157 -0.00161 -0.00167 -0.00173  -0.0018 -0.00185 -0.00187 -0.00184 -0.00167 -0.00128-0.000406  0.00121  0.00368  0.00579  0.00579
        9| -0.00121 -0.00121 -0.00124 -0.00126 -0.00129  -0.0013 -0.00131 -0.00129 -0.00124 -0.00112-0.000893-0.000495 0.000176  0.00123  0.00269  0.00437  0.00562  0.00562
        8|-0.000964-0.000964-0.000985-0.000994-0.000992-0.000975-0.000935 -0.00086-0.000733-0.000527-0.000209 0.000267 0.000957  0.00187  0.00294  0.00396  0.00461  0.00461
        7|-0.000749-0.000749-0.000762-0.000758-0.000737-0.000694-0.000621-0.000507-0.000336-9.11e-05 0.000253 0.000721  0.00132  0.00204  0.00278   0.0034  0.00372  0.00372
        6|-0.000566-0.000566-0.000573-0.000559-0.000524-0.000462-0.000367 -0.00023-3.98e-05 0.000216  0.00055 0.000971  0.00147  0.00201  0.00253  0.00292   0.0031   0.0031
        5|-0.000417-0.000417 -0.00042-0.000399-0.000353-0.000279-0.000171-2.22e-05 0.000174 0.000425 0.000734   0.0011  0.00151  0.00193   0.0023  0.00256  0.00267  0.00267
        4|-0.000304-0.000304-0.000303-0.000277-0.000224-0.000142-2.62e-05 0.000127 0.000322 0.000562 0.000845  0.00117   0.0015  0.00183  0.00212  0.00231  0.00238  0.00238
        3|-0.000226-0.000226-0.000223-0.000193-0.000135-4.76e-05 7.24e-05 0.000228  0.00042 0.000649  0.00091   0.0012  0.00149  0.00176  0.00199  0.00214  0.00219  0.00219
        2|-0.000184-0.000184-0.000179-0.000146 -8.5e-05  6.2e-06 0.000129 0.000286 0.000476 0.000698 0.000947  0.00121  0.00147  0.00172  0.00191  0.00204  0.00208  0.00208
        1|-0.000176-0.000176 -0.00017-0.000136-7.22e-05 2.17e-05 0.000148 0.000307 0.000498 0.000719 0.000963  0.00122  0.00147   0.0017  0.00189  0.00201  0.00205  0.00205
        0|-0.000176-0.000176 -0.00017-0.000136-7.22e-05 2.17e-05 0.000148 0.000307 0.000498 0.000719 0.000963  0.00122  0.00147   0.0017  0.00189  0.00201  0.00205  0.00205

