nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0159  -0.0159  -0.0122  -0.0113  -0.0102 -0.00889 -0.00746   -0.006 -0.00455 -0.00313 -0.00168-9.59e-05  0.00174  0.00435  0.00903   0.0185   0.0355   0.0355
       16|  -0.0159  -0.0159  -0.0122  -0.0113  -0.0102 -0.00889 -0.00746   -0.006 -0.00455 -0.00313 -0.00168-9.59e-05  0.00174  0.00435  0.00903   0.0185   0.0355   0.0355
       15|  -0.0118  -0.0118  -0.0114  -0.0106 -0.00953 -0.00827 -0.00693 -0.00556 -0.00419 -0.00282 -0.00143-1.56e-05  0.00157  0.00351  0.00643   0.0119   0.0202   0.0202
       14|  -0.0093  -0.0093 -0.00917  -0.0087 -0.00795   -0.007 -0.00592 -0.00475 -0.00353 -0.00226-0.000935 0.000489   0.0021  0.00404   0.0066   0.0101   0.0137   0.0137
       13| -0.00764 -0.00764 -0.00754 -0.00719 -0.00663 -0.00588 -0.00498 -0.00399 -0.00291 -0.00175-0.000513  0.00084  0.00236  0.00412  0.00619  0.00845   0.0102   0.0102
       12| -0.00638 -0.00638 -0.00628   -0.006 -0.00554 -0.00493 -0.00418 -0.00332 -0.00237 -0.00134-0.000225  0.00099  0.00232  0.00377   0.0053  0.00672  0.00762  0.00762
       11| -0.00537 -0.00537 -0.00528 -0.00505 -0.00466 -0.00414 -0.00351 -0.00277 -0.00194 -0.00104-5.71e-05 0.000991   0.0021  0.00325  0.00435  0.00527  0.00578  0.00578
       10| -0.00455 -0.00455 -0.00448 -0.00427 -0.00394  -0.0035 -0.00296 -0.00232  -0.0016 -0.00082 1.98e-05 0.000903  0.00181   0.0027  0.00351  0.00413  0.00444  0.00444
        9| -0.00389 -0.00389 -0.00382 -0.00364 -0.00336 -0.00298 -0.00251 -0.00196 -0.00135-0.000675 3.66e-05 0.000771   0.0015   0.0022   0.0028  0.00324  0.00345  0.00345
        8| -0.00335 -0.00335 -0.00329 -0.00313 -0.00289 -0.00256 -0.00215 -0.00168 -0.00115-0.000582 1.79e-05 0.000626  0.00122  0.00176  0.00222  0.00254  0.00269  0.00269
        7| -0.00291 -0.00291 -0.00286 -0.00272 -0.00251 -0.00222 -0.00187 -0.00147 -0.00101-0.000524-1.87e-05 0.000487  0.00097   0.0014  0.00176  0.00201  0.00212  0.00212
        6| -0.00256 -0.00256 -0.00252  -0.0024 -0.00221 -0.00196 -0.00166  -0.0013-0.000909-0.000491-6.13e-05 0.000363 0.000762  0.00111   0.0014  0.00159  0.00168  0.00168
        5| -0.00229 -0.00229 -0.00225 -0.00214 -0.00198 -0.00176 -0.00149 -0.00118-0.000835-0.000472-0.000102 0.000259 0.000595 0.000888  0.00112  0.00128  0.00135  0.00135
        4| -0.00209 -0.00209 -0.00205 -0.00195 -0.00181 -0.00161 -0.00137 -0.00109-0.000783-0.000462-0.000138 0.000177 0.000467 0.000718 0.000915  0.00105   0.0011   0.0011
        3| -0.00195 -0.00195 -0.00191 -0.00182 -0.00168  -0.0015 -0.00128 -0.00103-0.000748-0.000457-0.000165 0.000117 0.000376 0.000598 0.000771 0.000887 0.000937 0.000937
        2| -0.00186 -0.00186 -0.00182 -0.00174 -0.00161 -0.00144 -0.00123-0.000988-0.000727-0.000455-0.000182    8e-05 0.000319 0.000524 0.000683 0.000789 0.000834 0.000834
        1| -0.00182 -0.00182 -0.00179 -0.00171 -0.00158 -0.00141 -0.00121-0.000972-0.000718-0.000454-0.000189 6.48e-05 0.000296 0.000493 0.000647 0.000748 0.000792 0.000792
        0| -0.00182 -0.00182 -0.00179 -0.00171 -0.00158 -0.00141 -0.00121-0.000972-0.000718-0.000454-0.000189 6.48e-05 0.000296 0.000493 0.000647 0.000748 0.000792 0.000792

