nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0186  -0.0186  -0.0143  -0.0125  -0.0107 -0.00886 -0.00707 -0.00536 -0.00371  -0.0021-0.000451   0.0013   0.0033  0.00595   0.0102   0.0181   0.0323   0.0323
       16|  -0.0186  -0.0186  -0.0143  -0.0125  -0.0107 -0.00886 -0.00707 -0.00536 -0.00371  -0.0021-0.000451   0.0013   0.0033  0.00595   0.0102   0.0181   0.0323   0.0323
       15|  -0.0137  -0.0137  -0.0129  -0.0115  -0.0099 -0.00824  -0.0066   -0.005 -0.00343 -0.00189-0.000345  0.00128  0.00307  0.00519  0.00808   0.0127   0.0194   0.0194
       14|  -0.0107  -0.0107  -0.0103 -0.00947 -0.00836 -0.00709 -0.00574 -0.00435 -0.00295 -0.00153 -5.6e-05  0.00151  0.00324  0.00524  0.00768   0.0107   0.0136   0.0136
       13| -0.00864 -0.00864 -0.00841 -0.00784 -0.00702 -0.00602 -0.00491 -0.00372 -0.00249  -0.0012 0.000153  0.00159  0.00315  0.00487  0.00677   0.0087   0.0101   0.0101
       12| -0.00714 -0.00714 -0.00697 -0.00654  -0.0059  -0.0051 -0.00417 -0.00316 -0.00208 -0.00094 0.000259  0.00152  0.00286  0.00425  0.00565  0.00688  0.00763  0.00763
       11| -0.00597 -0.00597 -0.00583 -0.00549 -0.00497 -0.00432 -0.00354 -0.00268 -0.00175-0.000756 0.000285  0.00137  0.00247  0.00357   0.0046  0.00542  0.00586  0.00586
       10| -0.00503 -0.00503 -0.00491 -0.00464 -0.00422 -0.00367 -0.00302 -0.00228 -0.00148-0.000632 0.000257  0.00116  0.00207  0.00293  0.00369  0.00426  0.00455  0.00455
        9| -0.00428 -0.00428 -0.00418 -0.00395  -0.0036 -0.00314 -0.00259 -0.00196 -0.00128-0.000554 0.000197 0.000953  0.00169  0.00237  0.00294  0.00336  0.00356  0.00356
        8| -0.00367 -0.00367 -0.00359 -0.00339  -0.0031 -0.00271 -0.00224 -0.00171 -0.00112-0.000508 0.000125 0.000753  0.00135  0.00189  0.00234  0.00265   0.0028   0.0028
        7| -0.00318 -0.00318 -0.00311 -0.00295 -0.00269 -0.00236 -0.00196 -0.00151 -0.00101-0.000484 4.97e-05 0.000574  0.00107   0.0015  0.00186   0.0021  0.00222  0.00222
        6|  -0.0028  -0.0028 -0.00273 -0.00259 -0.00237 -0.00209 -0.00174 -0.00135-0.000923-0.000474-1.97e-05 0.000422 0.000833  0.00119  0.00148  0.00167  0.00176  0.00176
        5|  -0.0025  -0.0025 -0.00244 -0.00232 -0.00213 -0.00188 -0.00158 -0.00123 -0.00086-0.000471-7.97e-05 0.000298 0.000647 0.000948  0.00119  0.00135  0.00142  0.00142
        4| -0.00227 -0.00227 -0.00222 -0.00211 -0.00194 -0.00172 -0.00145 -0.00115-0.000816-0.000472-0.000128 0.000202 0.000505 0.000765 0.000969  0.00111  0.00117  0.00117
        3| -0.00211 -0.00211 -0.00207 -0.00197 -0.00181 -0.00161 -0.00136 -0.00109-0.000786-0.000474-0.000164 0.000133 0.000404 0.000635 0.000816 0.000937 0.000991 0.000991
        2| -0.00201 -0.00201 -0.00197 -0.00188 -0.00173 -0.00154 -0.00131 -0.00105-0.000768-0.000476-0.000187 8.96e-05  0.00034 0.000554 0.000721 0.000832 0.000882 0.000882
        1| -0.00197 -0.00197 -0.00193 -0.00184  -0.0017 -0.00151 -0.00129 -0.00103-0.000759-0.000477-0.000196 7.09e-05 0.000313  0.00052  0.00068 0.000787 0.000835 0.000835
        0| -0.00197 -0.00197 -0.00193 -0.00184  -0.0017 -0.00151 -0.00129 -0.00103-0.000759-0.000477-0.000196 7.09e-05 0.000313  0.00052  0.00068 0.000787 0.000835 0.000835

