nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00724 -0.00724 -0.00331 -0.00293 -0.00316 -0.00354 -0.00399 -0.00449 -0.00504 -0.00571 -0.00662 -0.00804  -0.0103  -0.0117  -0.0049     0.02   0.0635   0.0635
       16| -0.00724 -0.00724 -0.00331 -0.00293 -0.00316 -0.00354 -0.00399 -0.00449 -0.00504 -0.00571 -0.00662 -0.00804  -0.0103  -0.0117  -0.0049     0.02   0.0635   0.0635
       15| -0.00433 -0.00433 -0.00404 -0.00383 -0.00384 -0.00401 -0.00428 -0.00464 -0.00507 -0.00563 -0.00643  -0.0078  -0.0103  -0.0142  -0.0146 -0.00193   0.0229   0.0229
       14| -0.00336 -0.00336 -0.00336 -0.00335 -0.00344 -0.00362 -0.00386 -0.00415 -0.00451 -0.00497 -0.00563 -0.00672 -0.00863  -0.0116  -0.0135 -0.00734  0.00488  0.00488
       13| -0.00279 -0.00279 -0.00284  -0.0029   -0.003 -0.00315 -0.00333 -0.00355 -0.00381 -0.00411 -0.00451 -0.00506 -0.00584 -0.00675 -0.00668 -0.00256  0.00356  0.00356
       12| -0.00237 -0.00237 -0.00243 -0.00249 -0.00258 -0.00269 -0.00281 -0.00294 -0.00307 -0.00319 -0.00329 -0.00333 -0.00323  -0.0027 -0.00114  0.00219  0.00562  0.00562
       11| -0.00203 -0.00203 -0.00208 -0.00213 -0.00219 -0.00226 -0.00232 -0.00236 -0.00238 -0.00234 -0.00221 -0.00192 -0.00135-0.000282  0.00147  0.00386  0.00583  0.00583
       10| -0.00173 -0.00173 -0.00178 -0.00181 -0.00184 -0.00187 -0.00188 -0.00185 -0.00178 -0.00163 -0.00136-0.000924-0.000218 0.000824   0.0022  0.00368  0.00473  0.00473
        9| -0.00148 -0.00148 -0.00151 -0.00153 -0.00154 -0.00153  -0.0015 -0.00142 -0.00129 -0.00108-0.000762 -0.00029 0.000366  0.00121  0.00218  0.00306  0.00358  0.00358
        8| -0.00126 -0.00126 -0.00128 -0.00129 -0.00128 -0.00125 -0.00118 -0.00108-0.000916-0.000682-0.000357 7.99e-05 0.000631  0.00127  0.00193  0.00247  0.00273  0.00273
        7| -0.00108 -0.00108 -0.00109 -0.00109 -0.00106 -0.00101 -0.00093-0.000807-0.000635-0.000401-9.73e-05 0.000282 0.000725   0.0012  0.00166    0.002  0.00215  0.00215
        6|-0.000922-0.000922 -0.00093-0.000918-0.000884-0.000824-0.000733-0.000604-0.000432 -0.00021 6.25e-05 0.000383 0.000738   0.0011  0.00142  0.00165  0.00173  0.00173
        5|-0.000799-0.000799-0.000804-0.000786-0.000746 -0.00068-0.000584-0.000454-0.000288-8.36e-05 0.000158 0.000429 0.000715 0.000993  0.00123  0.00139  0.00145  0.00145
        4|-0.000707-0.000707-0.000709-0.000688-0.000644-0.000574-0.000476-0.000349 -0.00019-1.39e-06 0.000214 0.000447 0.000684 0.000906  0.00109  0.00121  0.00125  0.00125
        3|-0.000645-0.000645-0.000644-0.000621-0.000574-0.000502-0.000404-0.000279-0.000126 5.01e-05 0.000246 0.000453 0.000657 0.000844 0.000994  0.00109  0.00112  0.00112
        2|-0.000612-0.000612 -0.00061-0.000584-0.000535-0.000462-0.000363-0.000238-8.94e-05    8e-05 0.000265 0.000456 0.000642 0.000808  0.00094  0.00102  0.00105  0.00105
        1|-0.000607-0.000607-0.000604-0.000577-0.000527-0.000451 -0.00035-0.000224-7.52e-05  9.3e-05 0.000275 0.000461  0.00064 0.000799 0.000924    0.001  0.00103  0.00103
        0|-0.000607-0.000607-0.000604-0.000577-0.000527-0.000451 -0.00035-0.000224-7.52e-05  9.3e-05 0.000275 0.000461  0.00064 0.000799 0.000924    0.001  0.00103  0.00103

