nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00636 -0.00636 -0.00228 -0.00168  -0.0017 -0.00191 -0.00223 -0.00267 -0.00327 -0.00411 -0.00537 -0.00727  -0.0099  -0.0118 -0.00487   0.0236   0.0735   0.0735
       16| -0.00636 -0.00636 -0.00228 -0.00168  -0.0017 -0.00191 -0.00223 -0.00267 -0.00327 -0.00411 -0.00537 -0.00727  -0.0099  -0.0118 -0.00487   0.0236   0.0735   0.0735
       15| -0.00332 -0.00332 -0.00295 -0.00258 -0.00244 -0.00249  -0.0027 -0.00306 -0.00358 -0.00435 -0.00556 -0.00752  -0.0108  -0.0157  -0.0174 -0.00312   0.0262   0.0262
       14| -0.00236 -0.00236 -0.00229 -0.00219 -0.00219 -0.00231 -0.00254 -0.00289  -0.0034 -0.00416 -0.00533 -0.00729  -0.0107  -0.0159  -0.0205   -0.015-0.000744-0.000744
       13| -0.00178 -0.00178  -0.0018  -0.0018 -0.00187   -0.002 -0.00222 -0.00254 -0.00299 -0.00364 -0.00462  -0.0062 -0.00886  -0.0128  -0.0161   -0.013 -0.00539 -0.00539
       12| -0.00135 -0.00135 -0.00139 -0.00144 -0.00152 -0.00164 -0.00182 -0.00207  -0.0024 -0.00284 -0.00346 -0.00437 -0.00572 -0.00743 -0.00831 -0.00544-0.000908-0.000908
       11|-0.000998-0.000998 -0.00104 -0.00109 -0.00116 -0.00125 -0.00138 -0.00153 -0.00171 -0.00193 -0.00217 -0.00243 -0.00265 -0.00263 -0.00161  0.00128  0.00436  0.00436
       10|-0.000689-0.000689-0.000727-0.000765-0.000812-0.000867-0.000928-0.000989 -0.00104 -0.00105   -0.001-0.000822-0.000402 0.000504  0.00213  0.00456  0.00662  0.00662
        9|-0.000414-0.000414-0.000443-0.000467-0.000488-0.000504-0.000509-0.000492-0.000435-0.000311-7.93e-05 0.000323 0.000999  0.00205  0.00348  0.00511  0.00631  0.00631
        8| -0.00017 -0.00017 -0.00019-0.000199-0.000198-0.000181 -0.00014-6.48e-05 6.35e-05 0.000269 0.000587  0.00106  0.00174  0.00264  0.00369  0.00467  0.00529  0.00529
        7| 4.32e-05 4.32e-05 2.99e-05 3.32e-05 5.38e-05 9.66e-05 0.000169 0.000283 0.000452 0.000696  0.00104   0.0015  0.00209  0.00279  0.00351  0.00411  0.00442  0.00442
        6| 0.000223 0.000223 0.000216 0.000229 0.000264 0.000325 0.000419 0.000555 0.000743 0.000995  0.00132  0.00174  0.00223  0.00276  0.00326  0.00364  0.00381  0.00381
        5| 0.000369 0.000369 0.000366 0.000387 0.000432 0.000505 0.000612 0.000758 0.000952   0.0012   0.0015  0.00186  0.00226  0.00267  0.00303  0.00329  0.00339  0.00339
        4| 0.000481 0.000481 0.000481 0.000507 0.000559  0.00064 0.000754 0.000905   0.0011  0.00133  0.00161  0.00192  0.00226  0.00258  0.00285  0.00304  0.00311  0.00311
        3| 0.000557 0.000557  0.00056  0.00059 0.000646 0.000732  0.00085    0.001  0.00119  0.00142  0.00167  0.00195  0.00224  0.00251  0.00273  0.00287  0.00292  0.00292
        2| 0.000598 0.000598 0.000603 0.000635 0.000695 0.000785 0.000906  0.00106  0.00125  0.00146  0.00171  0.00197  0.00222  0.00246  0.00265  0.00278  0.00282  0.00282
        1| 0.000606 0.000606 0.000612 0.000646 0.000708   0.0008 0.000924  0.00108  0.00127  0.00148  0.00172  0.00198  0.00222  0.00245  0.00263  0.00275  0.00279  0.00279
        0| 0.000606 0.000606 0.000612 0.000646 0.000708   0.0008 0.000924  0.00108  0.00127  0.00148  0.00172  0.00198  0.00222  0.00245  0.00263  0.00275  0.00279  0.00279

