nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|  -0.0191  -0.0191  -0.0145  -0.0123  -0.0103 -0.00826 -0.00637 -0.00458 -0.00287  -0.0012   0.0005   0.0023  0.00435  0.00701   0.0111   0.0185   0.0317   0.0317
       16|  -0.0191  -0.0191  -0.0145  -0.0123  -0.0103 -0.00826 -0.00637 -0.00458 -0.00287  -0.0012   0.0005   0.0023  0.00435  0.00701   0.0111   0.0185   0.0317   0.0317
       15|  -0.0139  -0.0139  -0.0129  -0.0113 -0.00946 -0.00766 -0.00592 -0.00425 -0.00263 -0.00104 0.000563  0.00225   0.0041  0.00628  0.00914   0.0135   0.0197   0.0197
       14|  -0.0106  -0.0106  -0.0102 -0.00921 -0.00795 -0.00656 -0.00512 -0.00367 -0.00221-0.000738 0.000776  0.00238  0.00414  0.00614  0.00854   0.0114    0.014    0.014
       13| -0.00849 -0.00849  -0.0082 -0.00754 -0.00662 -0.00553 -0.00434 -0.00309  -0.0018-0.000474  0.00091  0.00237  0.00394  0.00564  0.00748   0.0093   0.0106   0.0106
       12|  -0.0069  -0.0069 -0.00669  -0.0062 -0.00549 -0.00462 -0.00364 -0.00257 -0.00145-0.000272 0.000954  0.00223  0.00357  0.00494  0.00629  0.00747  0.00817  0.00817
       11| -0.00567 -0.00567  -0.0055 -0.00512 -0.00456 -0.00385 -0.00303 -0.00212 -0.00115 -0.00013 0.000931  0.00202  0.00313  0.00421  0.00521  0.00599  0.00642  0.00642
       10| -0.00468 -0.00468 -0.00455 -0.00424 -0.00379  -0.0032 -0.00251 -0.00174-0.000914-3.84e-05 0.000866  0.00178  0.00268  0.00354  0.00428  0.00484  0.00512  0.00512
        9| -0.00389 -0.00389 -0.00378 -0.00353 -0.00316 -0.00267 -0.00209 -0.00144-0.000729 1.58e-05  0.00078  0.00154  0.00228  0.00295  0.00352  0.00393  0.00413  0.00413
        8| -0.00326 -0.00326 -0.00317 -0.00296 -0.00264 -0.00223 -0.00174 -0.00119-0.000588 4.42e-05 0.000688  0.00132  0.00193  0.00247  0.00291  0.00322  0.00337  0.00337
        7| -0.00276 -0.00276 -0.00268  -0.0025 -0.00223 -0.00189 -0.00147-0.000995-0.000481 5.61e-05   0.0006  0.00113  0.00163  0.00207  0.00242  0.00266  0.00278  0.00278
        6| -0.00236 -0.00236 -0.00229 -0.00214 -0.00191 -0.00161 -0.00125-0.000843-0.000402 5.82e-05 0.000521  0.00097  0.00138  0.00175  0.00203  0.00223  0.00232  0.00232
        5| -0.00205 -0.00205 -0.00199 -0.00186 -0.00166 -0.00139 -0.00108-0.000727-0.000344 5.52e-05 0.000455 0.000839  0.00119   0.0015  0.00174   0.0019  0.00198  0.00198
        4| -0.00181 -0.00181 -0.00176 -0.00164 -0.00147 -0.00123-0.000956-0.000641-0.000302 5.03e-05 0.000402 0.000738  0.00104  0.00131  0.00152  0.00165  0.00172  0.00172
        3| -0.00165 -0.00165  -0.0016 -0.00149 -0.00133 -0.00112-0.000867-0.000582-0.000273 4.55e-05 0.000363 0.000665  0.00094  0.00118  0.00136  0.00148  0.00154  0.00154
        2| -0.00154 -0.00154  -0.0015  -0.0014 -0.00125 -0.00105-0.000812-0.000544-0.000256 4.21e-05 0.000338 0.000619 0.000874  0.00109  0.00126  0.00137  0.00143  0.00143
        1|  -0.0015  -0.0015 -0.00146 -0.00136 -0.00121 -0.00102-0.000788-0.000528-0.000248 4.07e-05 0.000327 0.000599 0.000846  0.00106  0.00122  0.00133  0.00138  0.00138
        0|  -0.0015  -0.0015 -0.00146 -0.00136 -0.00121 -0.00102-0.000788-0.000528-0.000248 4.07e-05 0.000327 0.000599 0.000846  0.00106  0.00122  0.00133  0.00138  0.00138

