nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00725 -0.00725 -0.00349 -0.00332 -0.00369 -0.00413 -0.00453 -0.00486 -0.00515 -0.00543 -0.00587 -0.00672 -0.00807 -0.00774-0.000784   0.0206   0.0577   0.0577
       16| -0.00725 -0.00725 -0.00349 -0.00332 -0.00369 -0.00413 -0.00453 -0.00486 -0.00515 -0.00543 -0.00587 -0.00672 -0.00807 -0.00774-0.000784   0.0206   0.0577   0.0577
       15| -0.00439 -0.00439  -0.0042 -0.00412  -0.0042 -0.00439 -0.00459 -0.00478 -0.00495 -0.00514 -0.00548 -0.00623 -0.00775 -0.00976 -0.00829  0.00285   0.0235   0.0235
       14| -0.00336 -0.00336 -0.00341 -0.00346 -0.00359 -0.00374 -0.00389 -0.00403 -0.00414 -0.00426 -0.00445 -0.00485 -0.00561 -0.00665 -0.00635-0.000312  0.00963  0.00963
       13| -0.00272 -0.00272  -0.0028 -0.00288 -0.00298 -0.00308 -0.00318 -0.00324 -0.00327 -0.00326 -0.00324  -0.0032  -0.0031 -0.00269 -0.00111  0.00304  0.00794  0.00794
       12| -0.00224 -0.00224 -0.00231 -0.00237 -0.00244 -0.00249 -0.00253 -0.00252 -0.00246 -0.00233  -0.0021 -0.00173  -0.0011 4.49e-05  0.00203  0.00501  0.00765  0.00765
       11| -0.00184 -0.00184 -0.00189 -0.00193 -0.00197 -0.00198 -0.00196 -0.00189 -0.00175 -0.00152 -0.00117-0.000639 0.000177  0.00138  0.00304  0.00494  0.00634  0.00634
       10|  -0.0015  -0.0015 -0.00153 -0.00156 -0.00156 -0.00154 -0.00147 -0.00136 -0.00117-0.000892-0.000489 8.06e-05 0.000859  0.00187  0.00306   0.0042  0.00492  0.00492
        9| -0.00121 -0.00121 -0.00123 -0.00123 -0.00122 -0.00117 -0.00107-0.000931-0.000718-0.000422-2.01e-05 0.000508  0.00117  0.00195  0.00277  0.00346  0.00383  0.00383
        8|-0.000955-0.000955 -0.00097-0.000962-0.000928-0.000861-0.000753-0.000595-0.000377-8.74e-05 0.000284 0.000742  0.00128  0.00186  0.00243  0.00286  0.00307  0.00307
        7|-0.000746-0.000746-0.000754-0.000737-0.000692-0.000615-0.000499-0.000339-0.000127 0.000143 0.000472 0.000857  0.00128  0.00172  0.00212  0.00241  0.00253  0.00253
        6|-0.000573-0.000573-0.000577-0.000554-0.000503-0.000421-0.000304-0.000147 5.28e-05 0.000297 0.000584 0.000906  0.00125  0.00158  0.00187  0.00206  0.00214  0.00214
        5|-0.000437-0.000437-0.000437-0.000411-0.000357-0.000273-0.000157-7.09e-06 0.000179 0.000399 0.000649 0.000919  0.00119  0.00145  0.00167  0.00182  0.00187  0.00187
        4|-0.000335-0.000335-0.000332-0.000304-0.000249-0.000165-5.18e-05 9.15e-05 0.000264 0.000464 0.000685 0.000917  0.00115  0.00136  0.00153  0.00164  0.00168  0.00168
        3|-0.000265-0.000265-0.000261-0.000231-0.000175-9.15e-05 1.93e-05 0.000157  0.00032 0.000505 0.000704  0.00091  0.00111  0.00129  0.00143  0.00152  0.00155  0.00155
        2|-0.000227-0.000227-0.000221 -0.00019-0.000133-4.95e-05 6.03e-05 0.000195 0.000353 0.000528 0.000716 0.000906  0.00109  0.00125  0.00138  0.00146  0.00148  0.00148
        1|-0.000218-0.000218-0.000212 -0.00018-0.000122 -3.7e-05 7.38e-05 0.000209 0.000366 0.000539 0.000723 0.000908  0.00108  0.00124  0.00136  0.00143  0.00146  0.00146
        0|-0.000218-0.000218-0.000212 -0.00018-0.000122 -3.7e-05 7.38e-05 0.000209 0.000366 0.000539 0.000723 0.000908  0.00108  0.00124  0.00136  0.00143  0.00146  0.00146

