nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00653 -0.00653 -0.00259 -0.00221 -0.00245 -0.00283 -0.00327 -0.00377 -0.00433 -0.00499  -0.0059 -0.00733 -0.00962   -0.011 -0.00418   0.0207   0.0642   0.0642
       16| -0.00653 -0.00653 -0.00259 -0.00221 -0.00245 -0.00283 -0.00327 -0.00377 -0.00433 -0.00499  -0.0059 -0.00733 -0.00962   -0.011 -0.00418   0.0207   0.0642   0.0642
       15| -0.00361 -0.00361 -0.00333 -0.00312 -0.00312 -0.00329 -0.00357 -0.00393 -0.00436 -0.00491 -0.00572 -0.00708 -0.00963  -0.0135  -0.0139 -0.00122   0.0236   0.0236
       14| -0.00265 -0.00265 -0.00265 -0.00264 -0.00273  -0.0029 -0.00314 -0.00344  -0.0038 -0.00426 -0.00492   -0.006 -0.00791  -0.0109  -0.0128 -0.00663   0.0056   0.0056
       13| -0.00207 -0.00207 -0.00213 -0.00219 -0.00229 -0.00243 -0.00262 -0.00284 -0.00309  -0.0034 -0.00379 -0.00434 -0.00513 -0.00604 -0.00596 -0.00184  0.00428  0.00428
       12| -0.00165 -0.00165 -0.00171 -0.00178 -0.00187 -0.00197  -0.0021 -0.00223 -0.00236 -0.00248 -0.00257 -0.00261 -0.00251 -0.00199-0.000428   0.0029  0.00634  0.00634
       11| -0.00131 -0.00131 -0.00136 -0.00142 -0.00148 -0.00154  -0.0016 -0.00165 -0.00166 -0.00163 -0.00149 -0.00121-0.000631 0.000433  0.00218  0.00457  0.00654  0.00654
       10| -0.00102 -0.00102 -0.00106  -0.0011 -0.00113 -0.00116 -0.00116 -0.00114 -0.00107-0.000916 -0.00065 -0.00021 0.000496  0.00154  0.00292   0.0044  0.00544  0.00544
        9|-0.000765-0.000765-0.000796-0.000816-0.000825-0.000817-0.000782-0.000709-0.000578-0.000368-4.75e-05 0.000425  0.00108  0.00193  0.00289  0.00377  0.00429  0.00429
        8|-0.000547-0.000547-0.000568-0.000574-0.000564-0.000531-0.000468-0.000362-0.000201 3.23e-05 0.000358 0.000795  0.00135  0.00199  0.00265  0.00318  0.00345  0.00345
        7|-0.000361-0.000361-0.000375 -0.00037-0.000346-0.000296-0.000215-9.28e-05 7.97e-05 0.000313 0.000617 0.000996  0.00144  0.00192  0.00237  0.00271  0.00286  0.00286
        6|-0.000207-0.000207-0.000215-0.000203-0.000169-0.000109-1.78e-05 0.000111 0.000283 0.000504 0.000777   0.0011  0.00145  0.00181  0.00213  0.00236  0.00245  0.00245
        5|-8.41e-05-8.41e-05-8.87e-05-7.15e-05-3.12e-05 3.51e-05 0.000131  0.00026 0.000427 0.000631 0.000873  0.00114  0.00143  0.00171  0.00194   0.0021  0.00216  0.00216
        4| 8.01e-06 8.01e-06 6.38e-06 2.72e-05 7.14e-05 0.000141 0.000239 0.000366 0.000525 0.000713 0.000929  0.00116   0.0014  0.00162   0.0018  0.00192  0.00197  0.00197
        3| 7.03e-05 7.03e-05 7.08e-05 9.42e-05 0.000141 0.000213 0.000311 0.000436 0.000588 0.000765 0.000961  0.00117  0.00137  0.00156  0.00171   0.0018  0.00184  0.00184
        2| 0.000103 0.000103 0.000105 0.000131  0.00018 0.000253 0.000352 0.000477 0.000626 0.000795  0.00098  0.00117  0.00136  0.00152  0.00165  0.00174  0.00177  0.00177
        1| 0.000108 0.000108 0.000111 0.000138 0.000189 0.000264 0.000365 0.000491  0.00064 0.000808  0.00099  0.00118  0.00135  0.00151  0.00164  0.00172  0.00174  0.00174
        0| 0.000108 0.000108 0.000111 0.000138 0.000189 0.000264 0.000365 0.000491  0.00064 0.000808  0.00099  0.00118  0.00135  0.00151  0.00164  0.00172  0.00174  0.00174

