nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00654 -0.00654 -0.00242 -0.00175 -0.00173 -0.00189 -0.00217 -0.00258 -0.00314 -0.00395 -0.00516 -0.00695 -0.00911 -0.00966  -0.0011   0.0278   0.0772   0.0772
       16| -0.00654 -0.00654 -0.00242 -0.00175 -0.00173 -0.00189 -0.00217 -0.00258 -0.00314 -0.00395 -0.00516 -0.00695 -0.00911 -0.00966  -0.0011   0.0278   0.0772   0.0772
       15| -0.00346 -0.00346 -0.00307 -0.00266 -0.00248 -0.00249 -0.00267   -0.003 -0.00351 -0.00429 -0.00551 -0.00747  -0.0104   -0.014  -0.0136  0.00149   0.0303   0.0303
       14| -0.00251 -0.00251 -0.00243 -0.00229 -0.00227 -0.00236 -0.00258 -0.00294 -0.00348 -0.00431 -0.00564 -0.00782  -0.0113   -0.016   -0.019  -0.0134 0.000158 0.000158
       13| -0.00191 -0.00191 -0.00193 -0.00192 -0.00197 -0.00211 -0.00234  -0.0027 -0.00323 -0.00404 -0.00534 -0.00752  -0.0112  -0.0162    -0.02  -0.0168 -0.00915 -0.00915
       12| -0.00147 -0.00147  -0.0015 -0.00154 -0.00162 -0.00176 -0.00198 -0.00229 -0.00274  -0.0034 -0.00443 -0.00615 -0.00896  -0.0127  -0.0152  -0.0125 -0.00768 -0.00768
       11| -0.00108 -0.00108 -0.00112 -0.00117 -0.00125 -0.00136 -0.00153 -0.00175 -0.00206 -0.00248  -0.0031 -0.00406  -0.0055 -0.00718 -0.00781 -0.00517 -0.00174 -0.00174
       10|-0.000728-0.000728-0.000765-0.000807-0.000864-0.000939 -0.00104 -0.00116  -0.0013 -0.00148 -0.00169 -0.00194 -0.00219 -0.00222 -0.00127  0.00141    0.004    0.004
        9|-0.000405-0.000405-0.000434-0.000461 -0.00049-0.000521 -0.00055-0.000572-0.000575-0.000542-0.000442-0.000221 0.000219  0.00111  0.00269  0.00503   0.0069   0.0069
        8|-0.000111-0.000111-0.000131-0.000141-0.000142-0.000131-0.000102-4.26e-05 6.26e-05  0.00024 0.000528 0.000987  0.00171   0.0028  0.00426   0.0059  0.00707  0.00707
        7| 0.000151 0.000151 0.000139 0.000145 0.000168 0.000213 0.000289 0.000407 0.000583 0.000844  0.00122  0.00176   0.0025  0.00346  0.00455  0.00556   0.0062   0.0062
        6| 0.000377 0.000377 0.000372  0.00039 0.000433 0.000504 0.000612 0.000768 0.000986  0.00128  0.00168  0.00221  0.00287  0.00363   0.0044  0.00503  0.00535  0.00535
        5| 0.000563 0.000563 0.000563 0.000592 0.000648 0.000738 0.000867  0.00105  0.00128  0.00159  0.00198  0.00246  0.00301   0.0036  0.00416  0.00457  0.00474  0.00474
        4| 0.000707 0.000707 0.000711 0.000747 0.000813 0.000915  0.00106  0.00125  0.00149  0.00179  0.00216  0.00259  0.00305  0.00352  0.00394  0.00422  0.00434  0.00434
        3| 0.000807 0.000807 0.000814 0.000854 0.000928  0.00104  0.00119  0.00138  0.00163  0.00192  0.00227  0.00265  0.00305  0.00344  0.00377  0.00399  0.00407  0.00407
        2| 0.000862 0.000862 0.000872 0.000915 0.000994  0.00111  0.00127  0.00147  0.00171    0.002  0.00233  0.00268  0.00305  0.00339  0.00367  0.00386  0.00392  0.00392
        1| 0.000875 0.000875 0.000886 0.000931  0.00101  0.00113  0.00129  0.00149  0.00174  0.00203  0.00235   0.0027  0.00305  0.00337  0.00364  0.00381  0.00387  0.00387
        0| 0.000875 0.000875 0.000886 0.000931  0.00101  0.00113  0.00129  0.00149  0.00174  0.00203  0.00235   0.0027  0.00305  0.00337  0.00364  0.00381  0.00387  0.00387

