nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17| -0.00662 -0.00662 -0.00247 -0.00177 -0.00172 -0.00186 -0.00213 -0.00252 -0.00308 -0.00388 -0.00504 -0.00667 -0.00841 -0.00794  0.00165   0.0305   0.0788   0.0788
       16| -0.00662 -0.00662 -0.00247 -0.00177 -0.00172 -0.00186 -0.00213 -0.00252 -0.00308 -0.00388 -0.00504 -0.00667 -0.00841 -0.00794  0.00165   0.0305   0.0788   0.0788
       15| -0.00354 -0.00354 -0.00312 -0.00269 -0.00248 -0.00248 -0.00265 -0.00297 -0.00348 -0.00426 -0.00546 -0.00729 -0.00984  -0.0123  -0.0103  0.00517   0.0331   0.0331
       14|  -0.0026  -0.0026  -0.0025 -0.00235 -0.00231  -0.0024 -0.00262 -0.00298 -0.00354 -0.00441 -0.00576 -0.00789   -0.011  -0.0146   -0.016 -0.00975  0.00288  0.00288
       13| -0.00201 -0.00201 -0.00201   -0.002 -0.00204 -0.00218 -0.00243 -0.00281  -0.0034  -0.0043 -0.00575 -0.00814  -0.0118  -0.0164  -0.0192  -0.0161   -0.009   -0.009
       12| -0.00155 -0.00155 -0.00159 -0.00163 -0.00171 -0.00186  -0.0021 -0.00246   -0.003 -0.00382 -0.00515  -0.0074  -0.0109  -0.0153  -0.0178  -0.0151  -0.0103  -0.0103
       11| -0.00115 -0.00115 -0.00119 -0.00125 -0.00133 -0.00147 -0.00167 -0.00195 -0.00236 -0.00298 -0.00396 -0.00556 -0.00803  -0.0109  -0.0122 -0.00957 -0.00603 -0.00603
       10|-0.000776-0.000776-0.000814-0.000862-0.000932 -0.00103 -0.00116 -0.00134 -0.00159 -0.00194 -0.00245 -0.00323 -0.00433  -0.0054 -0.00527 -0.00263 9.59e-05 9.59e-05
        9|-0.000425-0.000425-0.000455-0.000488-0.000528-0.000579 -0.00064 -0.00071-0.000791-0.000881-0.000978 -0.00107 -0.00109-0.000795 0.000448  0.00298  0.00506  0.00506
        8|-9.84e-05-9.84e-05 -0.00012-0.000134-0.000143-0.000147-0.000139-0.000112 -5.4e-05 5.43e-05 0.000246 0.000576  0.00114  0.00215  0.00372   0.0058   0.0073   0.0073
        7| 0.000197 0.000197 0.000184 0.000188 0.000206 0.000245  0.00031 0.000413 0.000571 0.000808  0.00116  0.00169  0.00247  0.00356  0.00492  0.00634  0.00728  0.00728
        6| 0.000454 0.000454 0.000449 0.000467  0.00051 0.000581 0.000689 0.000845  0.00107  0.00138   0.0018  0.00238  0.00314  0.00408  0.00509  0.00597  0.00648  0.00648
        5| 0.000668 0.000668 0.000669 0.000699  0.00076 0.000855 0.000993  0.00118  0.00144  0.00178  0.00222  0.00277  0.00345  0.00419  0.00492  0.00549  0.00576  0.00576
        4| 0.000834 0.000834  0.00084 0.000879 0.000953  0.00107  0.00122  0.00143  0.00171  0.00205  0.00248  0.00299  0.00356  0.00416  0.00471  0.00509  0.00525  0.00525
        3|  0.00095  0.00095 0.000959  0.00101  0.00109  0.00121  0.00138   0.0016  0.00188  0.00223  0.00264   0.0031   0.0036   0.0041  0.00453  0.00482  0.00492  0.00492
        2|  0.00101  0.00101  0.00103  0.00108  0.00116   0.0013  0.00147   0.0017  0.00199  0.00233  0.00272  0.00316  0.00361  0.00405  0.00441  0.00465  0.00474  0.00474
        1|  0.00103  0.00103  0.00104  0.00109  0.00119  0.00132   0.0015  0.00174  0.00203  0.00237  0.00276  0.00319  0.00362  0.00403  0.00437  0.00459  0.00467  0.00467
        0|  0.00103  0.00103  0.00104  0.00109  0.00119  0.00132   0.0015  0.00174  0.00203  0.00237  0.00276  0.00319  0.00362  0.00403  0.00437  0.00459  0.00467  0.00467

