nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0267  -0.0188   -0.014  -0.0105 -0.00773 -0.00538 -0.00325 -0.00125  0.00071  0.00271  0.00483  0.00718  0.00996   0.0135   0.0185   0.0267
       15|  -0.0189  -0.0158  -0.0126 -0.00977 -0.00732 -0.00514 -0.00313 -0.00121 0.000678  0.00259  0.00461  0.00679  0.00925   0.0121   0.0154   0.0186
       14|  -0.0143  -0.0128  -0.0108 -0.00866 -0.00664 -0.00472  -0.0029 -0.00113 0.000621  0.00239  0.00422  0.00614  0.00818   0.0103   0.0124    0.014
       13|  -0.0112  -0.0104 -0.00903 -0.00747 -0.00585 -0.00422 -0.00262 -0.00103 0.000545  0.00213  0.00374  0.00538  0.00702  0.00861  0.00998   0.0108
       12| -0.00897 -0.00845 -0.00752 -0.00635 -0.00506  -0.0037 -0.00232-0.000931  0.00046  0.00185  0.00324  0.00461  0.00592  0.00711  0.00805  0.00859
       11|  -0.0073 -0.00693 -0.00626 -0.00537 -0.00433  -0.0032 -0.00203-0.000832 0.000373  0.00157  0.00275  0.00389  0.00494  0.00584  0.00653   0.0069
       10|   -0.006 -0.00573 -0.00522 -0.00452 -0.00368 -0.00275 -0.00176 -0.00074 0.000292  0.00132  0.00231  0.00325   0.0041   0.0048  0.00532  0.00559
        9| -0.00498 -0.00477 -0.00437 -0.00382 -0.00313 -0.00236 -0.00153 -0.00066 0.000219  0.00109  0.00192   0.0027  0.00339  0.00396  0.00436  0.00457
        8| -0.00417 -0.00401 -0.00369 -0.00323 -0.00267 -0.00203 -0.00133-0.000591 0.000156 0.000892   0.0016  0.00224  0.00281  0.00327  0.00359  0.00376
        7| -0.00353  -0.0034 -0.00314 -0.00276 -0.00229 -0.00175 -0.00116-0.000534 0.000102 0.000728  0.00132  0.00187  0.00234  0.00272  0.00298  0.00311
        6| -0.00303 -0.00292  -0.0027 -0.00239 -0.00199 -0.00153 -0.00102-0.000487  5.8e-05 0.000594   0.0011  0.00156  0.00196  0.00228   0.0025  0.00261
        5| -0.00264 -0.00254 -0.00236 -0.00209 -0.00175 -0.00135-0.000915 -0.00045 2.29e-05 0.000488 0.000928  0.00133  0.00167  0.00194  0.00212  0.00222
        4| -0.00234 -0.00226  -0.0021 -0.00187 -0.00157 -0.00122-0.000832-0.000422-4.09e-06 0.000406 0.000794  0.00114  0.00144  0.00168  0.00184  0.00192
        3| -0.00214 -0.00206 -0.00192 -0.00171 -0.00144 -0.00112-0.000773-0.000402-2.36e-05 0.000347 0.000698  0.00101  0.00128  0.00149  0.00164  0.00171
        2|   -0.002 -0.00193  -0.0018  -0.0016 -0.00135 -0.00106-0.000734-0.000389-3.63e-05 0.000309 0.000636 0.000929  0.00118  0.00138  0.00151  0.00158
        1| -0.00194 -0.00187 -0.00174 -0.00155 -0.00131 -0.00103-0.000716-0.000382-4.24e-05 0.000291 0.000605 0.000889  0.00113  0.00132  0.00145  0.00151

