nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0265  -0.0187  -0.0139  -0.0105 -0.00772 -0.00537 -0.00326 -0.00128 0.000674  0.00266  0.00477  0.00711  0.00987   0.0134   0.0184   0.0267
       15|  -0.0187  -0.0157  -0.0125 -0.00973  -0.0073 -0.00513 -0.00313 -0.00123 0.000646  0.00255  0.00455  0.00672  0.00916    0.012   0.0153   0.0186
       14|  -0.0141  -0.0127  -0.0107 -0.00862 -0.00661 -0.00471  -0.0029 -0.00114 0.000596  0.00236  0.00417  0.00609  0.00812   0.0103   0.0124   0.0139
       13|  -0.0111  -0.0103 -0.00897 -0.00743 -0.00582 -0.00421 -0.00262 -0.00104 0.000526   0.0021  0.00371  0.00533  0.00697  0.00856  0.00993   0.0108
       12| -0.00889 -0.00838 -0.00747 -0.00631 -0.00503 -0.00368 -0.00231-0.000936 0.000445  0.00183  0.00321  0.00457  0.00588  0.00706  0.00801  0.00855
       11| -0.00723 -0.00688 -0.00621 -0.00533  -0.0043 -0.00319 -0.00202-0.000834 0.000363  0.00156  0.00273  0.00386   0.0049  0.00581  0.00649  0.00686
       10| -0.00595 -0.00568 -0.00518 -0.00449 -0.00366 -0.00274 -0.00175 -0.00074 0.000285   0.0013  0.00229  0.00322  0.00407  0.00477  0.00529  0.00556
        9| -0.00493 -0.00473 -0.00434 -0.00379 -0.00311 -0.00234 -0.00152-0.000658 0.000214  0.00108  0.00191  0.00268  0.00337  0.00393  0.00433  0.00454
        8| -0.00413 -0.00397 -0.00366 -0.00321 -0.00265 -0.00201 -0.00132-0.000588 0.000153 0.000884  0.00158  0.00223  0.00279  0.00325  0.00357  0.00373
        7|  -0.0035 -0.00337 -0.00311 -0.00274 -0.00228 -0.00174 -0.00115 -0.00053 0.000101 0.000722  0.00131  0.00185  0.00232   0.0027  0.00296  0.00309
        6|   -0.003 -0.00289 -0.00267 -0.00236 -0.00197 -0.00152 -0.00101-0.000483 5.75e-05 0.000589  0.00109  0.00155  0.00195  0.00226  0.00248  0.00259
        5| -0.00261 -0.00252 -0.00234 -0.00207 -0.00173 -0.00134-0.000906-0.000446  2.3e-05 0.000484  0.00092  0.00132  0.00165  0.00192  0.00211   0.0022
        4| -0.00232 -0.00224 -0.00208 -0.00185 -0.00155 -0.00121-0.000824-0.000418-3.53e-06 0.000403 0.000788  0.00114  0.00143  0.00167  0.00183  0.00191
        3| -0.00211 -0.00204  -0.0019 -0.00169 -0.00142 -0.00111-0.000765-0.000397-2.28e-05 0.000345 0.000692  0.00101  0.00127  0.00148  0.00163   0.0017
        2| -0.00198 -0.00191 -0.00178 -0.00159 -0.00134 -0.00105-0.000726-0.000384-3.52e-05 0.000307 0.000631 0.000922  0.00117  0.00136   0.0015  0.00156
        1| -0.00191 -0.00185 -0.00172 -0.00154  -0.0013 -0.00102-0.000708-0.000378-4.12e-05 0.000289 0.000601 0.000881  0.00112  0.00131  0.00144   0.0015

