nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0268  -0.0189   -0.014  -0.0105 -0.00775 -0.00538 -0.00325 -0.00124 0.000727  0.00273  0.00486  0.00723     0.01   0.0135   0.0185   0.0267
       15|   -0.019  -0.0158  -0.0126  -0.0098 -0.00734 -0.00515 -0.00313  -0.0012 0.000694  0.00262  0.00464  0.00683   0.0093   0.0121   0.0154   0.0187
       14|  -0.0143  -0.0128  -0.0108 -0.00869 -0.00666 -0.00474  -0.0029 -0.00112 0.000635  0.00241  0.00425  0.00618  0.00823   0.0104   0.0125    0.014
       13|  -0.0112  -0.0104 -0.00907  -0.0075 -0.00587 -0.00424 -0.00262 -0.00103 0.000556  0.00215  0.00377  0.00541  0.00706  0.00865     0.01   0.0109
       12| -0.00902 -0.00849 -0.00756 -0.00638 -0.00508 -0.00371 -0.00233 -0.00093 0.000468  0.00187  0.00326  0.00463  0.00595  0.00714  0.00809  0.00863
       11| -0.00734 -0.00697 -0.00629 -0.00539 -0.00435 -0.00321 -0.00203-0.000832 0.000379  0.00158  0.00277  0.00391  0.00496  0.00587  0.00656  0.00693
       10| -0.00604 -0.00577 -0.00525 -0.00455  -0.0037 -0.00276 -0.00177-0.000741 0.000297  0.00133  0.00232  0.00327  0.00412  0.00483  0.00535  0.00562
        9| -0.00501  -0.0048  -0.0044 -0.00384 -0.00315 -0.00237 -0.00153-0.000661 0.000222   0.0011  0.00194  0.00272  0.00341  0.00398  0.00438  0.00459
        8|  -0.0042 -0.00403 -0.00371 -0.00326 -0.00269 -0.00204 -0.00133-0.000593 0.000158 0.000898  0.00161  0.00226  0.00283  0.00329  0.00361  0.00378
        7| -0.00356 -0.00342 -0.00316 -0.00278 -0.00231 -0.00176 -0.00117-0.000536 0.000103 0.000733  0.00133  0.00188  0.00235  0.00273    0.003  0.00313
        6| -0.00305 -0.00294 -0.00272  -0.0024   -0.002 -0.00154 -0.00103 -0.00049 5.87e-05 0.000598  0.00111  0.00158  0.00198  0.00229  0.00251  0.00263
        5| -0.00266 -0.00257 -0.00238 -0.00211 -0.00176 -0.00136-0.000921-0.000454  2.3e-05 0.000491 0.000934  0.00134  0.00168  0.00195  0.00214  0.00223
        4| -0.00237 -0.00228 -0.00212 -0.00188 -0.00158 -0.00123-0.000839-0.000426-4.34e-06 0.000409   0.0008  0.00115  0.00145  0.00169  0.00186  0.00194
        3| -0.00215 -0.00208 -0.00193 -0.00172 -0.00145 -0.00113-0.000779-0.000405-2.42e-05  0.00035 0.000703  0.00102  0.00129  0.00151  0.00165  0.00173
        2| -0.00202 -0.00195 -0.00182 -0.00162 -0.00137 -0.00107-0.000741-0.000392 -3.7e-05 0.000312  0.00064 0.000936  0.00119  0.00139  0.00152  0.00159
        1| -0.00195 -0.00189 -0.00176 -0.00157 -0.00132 -0.00104-0.000722-0.000386-4.33e-05 0.000293  0.00061 0.000895  0.00114  0.00133  0.00146  0.00153

