nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0233   -0.017  -0.0133  -0.0104 -0.00787 -0.00568  -0.0037 -0.00183-5.56e-06  0.00185  0.00381  0.00602  0.00871   0.0124   0.0182   0.0282
       15|  -0.0167  -0.0145   -0.012 -0.00958 -0.00738 -0.00537  -0.0035 -0.00172 2.96e-05   0.0018  0.00367   0.0057  0.00802   0.0108   0.0144   0.0188
       14|  -0.0126  -0.0116    -0.01  -0.0083 -0.00653 -0.00481 -0.00314 -0.00151 0.000108  0.00176  0.00348  0.00532  0.00732  0.00953   0.0119   0.0138
       13| -0.00992 -0.00936 -0.00833 -0.00704 -0.00565 -0.00421 -0.00276  -0.0013 0.000159  0.00165  0.00318  0.00476  0.00641  0.00805  0.00955   0.0105
       12| -0.00799 -0.00762 -0.00689 -0.00592 -0.00481 -0.00362 -0.00238 -0.00111 0.000181  0.00149  0.00281  0.00414  0.00545  0.00668  0.00768  0.00825
       11| -0.00651 -0.00625 -0.00571 -0.00496 -0.00407 -0.00308 -0.00203-0.000936  0.00018  0.00131  0.00243  0.00353  0.00457  0.00549   0.0062  0.00657
       10| -0.00536 -0.00516 -0.00475 -0.00416 -0.00343 -0.00261 -0.00172-0.000791 0.000164  0.00112  0.00207  0.00298  0.00381  0.00451  0.00503  0.00529
        9| -0.00445 -0.00429 -0.00396 -0.00349 -0.00289 -0.00221 -0.00146-0.000672 0.000139 0.000952  0.00174  0.00249  0.00316  0.00371   0.0041   0.0043
        8| -0.00373  -0.0036 -0.00333 -0.00294 -0.00245 -0.00188 -0.00125-0.000577 0.000111 0.000798  0.00146  0.00208  0.00262  0.00306  0.00337  0.00352
        7| -0.00315 -0.00305 -0.00283  -0.0025 -0.00209 -0.00161 -0.00107-0.000502 8.32e-05 0.000665  0.00122  0.00174  0.00219  0.00254  0.00279  0.00291
        6|  -0.0027 -0.00261 -0.00242 -0.00215  -0.0018 -0.00139-0.000932-0.000444 5.72e-05 0.000554  0.00103  0.00146  0.00184  0.00213  0.00234  0.00244
        5| -0.00235 -0.00227 -0.00211 -0.00188 -0.00158 -0.00122-0.000823  -0.0004 3.49e-05 0.000465 0.000874  0.00125  0.00156  0.00182  0.00199  0.00207
        4| -0.00208 -0.00202 -0.00188 -0.00167 -0.00141 -0.00109-0.000741-0.000367 1.68e-05 0.000396 0.000755  0.00108  0.00136  0.00158  0.00173   0.0018
        3|  -0.0019 -0.00184 -0.00171 -0.00152 -0.00128   -0.001-0.000683-0.000344 3.23e-06 0.000345  0.00067 0.000962  0.00121  0.00141  0.00154   0.0016
        2| -0.00178 -0.00172  -0.0016 -0.00143 -0.00121-0.000942-0.000646-0.000329-5.59e-06 0.000313 0.000615 0.000887  0.00112   0.0013  0.00142  0.00148
        1| -0.00172 -0.00167 -0.00156 -0.00139 -0.00117-0.000915-0.000629-0.000323-9.66e-06 0.000299  0.00059 0.000853  0.00108  0.00125  0.00137  0.00142

