nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0277  -0.0196  -0.0146   -0.011 -0.00811 -0.00563 -0.00337 -0.00124 0.000854  0.00298  0.00523  0.00771   0.0106   0.0142   0.0192   0.0273
       15|  -0.0198  -0.0165  -0.0132  -0.0103  -0.0077 -0.00539 -0.00325  -0.0012 0.000815  0.00286    0.005   0.0073  0.00985   0.0128   0.0161   0.0193
       14|  -0.0151  -0.0135  -0.0114 -0.00916 -0.00702 -0.00499 -0.00303 -0.00114 0.000745  0.00264  0.00459  0.00662  0.00875    0.011   0.0131   0.0146
       13|  -0.0119  -0.0111 -0.00963 -0.00797 -0.00623 -0.00449 -0.00276 -0.00105 0.000654  0.00236  0.00408  0.00582  0.00755   0.0092   0.0106   0.0115
       12| -0.00968 -0.00911 -0.00811 -0.00684 -0.00544 -0.00397 -0.00247-0.000957 0.000555  0.00206  0.00356  0.00502  0.00641  0.00767  0.00866  0.00922
       11| -0.00798 -0.00757 -0.00683 -0.00585 -0.00471 -0.00347 -0.00218-0.000867 0.000455  0.00177  0.00305  0.00428  0.00541  0.00638  0.00711  0.00751
       10| -0.00666 -0.00635 -0.00578 -0.00499 -0.00406 -0.00302 -0.00192-0.000784 0.000362   0.0015  0.00259  0.00362  0.00454  0.00532  0.00588  0.00617
        9| -0.00562 -0.00538 -0.00492 -0.00428 -0.00351 -0.00263 -0.00169-0.000712 0.000278  0.00125  0.00219  0.00306  0.00382  0.00445  0.00489  0.00512
        8|  -0.0048  -0.0046 -0.00422  -0.0037 -0.00305  -0.0023 -0.00149 -0.00065 0.000205  0.00105  0.00185  0.00258  0.00322  0.00374   0.0041  0.00429
        7| -0.00415 -0.00398 -0.00367 -0.00322 -0.00267 -0.00203 -0.00133  -0.0006 0.000143 0.000872  0.00156  0.00219  0.00274  0.00317  0.00347  0.00363
        6| -0.00364  -0.0035 -0.00323 -0.00284 -0.00237 -0.00181  -0.0012 -0.00056 9.07e-05 0.000729  0.00133  0.00188  0.00235  0.00272  0.00298  0.00311
        5| -0.00325 -0.00312 -0.00289 -0.00255 -0.00213 -0.00164  -0.0011-0.000529 4.87e-05 0.000614  0.00115  0.00163  0.00204  0.00237  0.00259  0.00271
        4| -0.00296 -0.00284 -0.00263 -0.00233 -0.00195 -0.00151 -0.00102-0.000506  1.6e-05 0.000527  0.00101  0.00144  0.00181   0.0021   0.0023   0.0024
        3| -0.00275 -0.00264 -0.00245 -0.00217 -0.00182 -0.00141-0.000964-0.000489-7.91e-06 0.000463 0.000906   0.0013  0.00164  0.00191  0.00209  0.00219
        2| -0.00262 -0.00252 -0.00233 -0.00207 -0.00174 -0.00135-0.000929 -0.00048-2.36e-05 0.000422 0.000842  0.00122  0.00154  0.00179  0.00196  0.00205
        1| -0.00256 -0.00246 -0.00228 -0.00203  -0.0017 -0.00133-0.000914-0.000476-3.12e-05 0.000403 0.000812  0.00118  0.00149  0.00173   0.0019  0.00199

