nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0237  -0.0172  -0.0134  -0.0104 -0.00783 -0.00563 -0.00363 -0.00175 8.74e-05  0.00196  0.00393  0.00616  0.00885   0.0125   0.0182    0.028
       15|  -0.0169  -0.0147  -0.0121 -0.00959 -0.00735 -0.00532 -0.00344 -0.00165 0.000113   0.0019  0.00378  0.00583  0.00816    0.011   0.0145   0.0187
       14|  -0.0128  -0.0117  -0.0101 -0.00832 -0.00653 -0.00479 -0.00311 -0.00146 0.000174  0.00184  0.00357  0.00541  0.00742  0.00961   0.0119   0.0138
       13|  -0.0101 -0.00946  -0.0084 -0.00708 -0.00566  -0.0042 -0.00273 -0.00127 0.000209  0.00171  0.00324  0.00483  0.00647  0.00811  0.00958   0.0105
       12| -0.00809  -0.0077 -0.00695 -0.00596 -0.00483 -0.00362 -0.00236 -0.00108 0.000217  0.00153  0.00286  0.00419   0.0055  0.00671   0.0077  0.00827
       11| -0.00659 -0.00631 -0.00576   -0.005 -0.00409 -0.00309 -0.00202-0.000919 0.000205  0.00134  0.00247  0.00357  0.00461  0.00552  0.00622  0.00659
       10| -0.00543 -0.00522 -0.00479 -0.00419 -0.00345 -0.00262 -0.00172-0.000782  0.00018  0.00115   0.0021    0.003  0.00383  0.00454  0.00505  0.00531
        9|  -0.0045 -0.00434   -0.004 -0.00352 -0.00292 -0.00222 -0.00147-0.000668 0.000149 0.000967  0.00176  0.00251  0.00318  0.00373  0.00412  0.00432
        8| -0.00377 -0.00364 -0.00337 -0.00297 -0.00247 -0.00189 -0.00125-0.000577 0.000117 0.000808  0.00147  0.00209  0.00264  0.00308  0.00339  0.00354
        7| -0.00319 -0.00308 -0.00286 -0.00253 -0.00211 -0.00162 -0.00108-0.000505 8.53e-05 0.000671  0.00123  0.00175   0.0022  0.00256  0.00281  0.00293
        6| -0.00273 -0.00264 -0.00245 -0.00217 -0.00182  -0.0014-0.000941-0.000448 5.71e-05 0.000557  0.00103  0.00147  0.00185  0.00214  0.00235  0.00245
        5| -0.00237  -0.0023 -0.00214  -0.0019 -0.00159 -0.00123-0.000832-0.000405 3.32e-05 0.000466 0.000877  0.00125  0.00157  0.00182    0.002  0.00208
        4| -0.00211 -0.00204  -0.0019 -0.00169 -0.00142  -0.0011 -0.00075-0.000373  1.4e-05 0.000395 0.000757  0.00108  0.00136  0.00158  0.00173  0.00181
        3| -0.00192 -0.00186 -0.00173 -0.00154  -0.0013 -0.00101-0.000692 -0.00035-2.35e-07 0.000345 0.000671 0.000965  0.00122  0.00141  0.00155  0.00161
        2|  -0.0018 -0.00174 -0.00162 -0.00145 -0.00122-0.000954-0.000655-0.000336 -9.5e-06 0.000312 0.000616  0.00089  0.00112   0.0013  0.00143  0.00149
        1| -0.00174 -0.00169 -0.00157  -0.0014 -0.00119-0.000927-0.000638-0.000329-1.38e-05 0.000297  0.00059 0.000854  0.00108  0.00125  0.00137  0.00143

