nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0259  -0.0179   -0.013 -0.00966 -0.00705 -0.00487 -0.00295 -0.00117 0.000578  0.00237  0.00431  0.00651  0.00916   0.0126   0.0175   0.0255
       15|   -0.018  -0.0148  -0.0116 -0.00893 -0.00663 -0.00463 -0.00283 -0.00113 0.000543  0.00225  0.00408  0.00611  0.00844   0.0112   0.0144   0.0176
       14|  -0.0133  -0.0118 -0.00982 -0.00782 -0.00595 -0.00422 -0.00261 -0.00105  0.00048  0.00204  0.00368  0.00544  0.00734  0.00937   0.0114   0.0129
       13|  -0.0101 -0.00933 -0.00807 -0.00663 -0.00516 -0.00372 -0.00233-0.000958 0.000401  0.00178  0.00319  0.00466  0.00616  0.00764  0.00893  0.00976
       12| -0.00786 -0.00739 -0.00655  -0.0055 -0.00437  -0.0032 -0.00202-0.000854 0.000318   0.0015  0.00269  0.00388  0.00505  0.00613  0.00701  0.00752
       11| -0.00616 -0.00585 -0.00527 -0.00451 -0.00363 -0.00269 -0.00173-0.000749 0.000238  0.00123  0.00221  0.00317  0.00408  0.00488  0.00549  0.00583
       10| -0.00485 -0.00464 -0.00423 -0.00366 -0.00298 -0.00224 -0.00146 -0.00065 0.000166 0.000981  0.00178  0.00255  0.00325  0.00385   0.0043  0.00454
        9| -0.00383 -0.00368 -0.00338 -0.00295 -0.00243 -0.00184 -0.00121-0.000559 0.000106 0.000769  0.00141  0.00202  0.00257  0.00303  0.00336  0.00354
        8| -0.00302 -0.00292 -0.00269 -0.00237 -0.00197 -0.00151 -0.00101 -0.00048  5.7e-05 0.000591  0.00111  0.00159  0.00202  0.00237  0.00262  0.00275
        7| -0.00239 -0.00231 -0.00214  -0.0019 -0.00159 -0.00123-0.000831-0.000411 1.88e-05 0.000446 0.000857  0.00124  0.00157  0.00184  0.00204  0.00214
        6| -0.00189 -0.00184 -0.00171 -0.00152 -0.00128   -0.001-0.000687-0.000353-9.82e-06 0.000331 0.000658 0.000959  0.00122  0.00143  0.00158  0.00166
        5| -0.00151 -0.00147 -0.00137 -0.00123 -0.00104 -0.00082-0.000571-0.000305-3.06e-05 0.000242 0.000503 0.000743 0.000952  0.00112  0.00124   0.0013
        4| -0.00122 -0.00119 -0.00112 -0.00101-0.000859-0.000681-0.000481-0.000267 -4.5e-05 0.000176 0.000387 0.000581 0.000749 0.000883 0.000977  0.00103
        3| -0.00101-0.000991-0.000934-0.000844-0.000724-0.000579-0.000415-0.000238-5.44e-05 0.000128 0.000304 0.000464 0.000603 0.000714 0.000791 0.000831
        2|-0.000873-0.000857-0.000811-0.000736-0.000634-0.000511 -0.00037-0.000218-5.99e-05 9.78e-05 0.000249 0.000387 0.000507 0.000602 0.000669 0.000703
        1|-0.000798-0.000785-0.000744-0.000676-0.000585-0.000473-0.000345-0.000207-6.23e-05 8.18e-05  0.00022 0.000346 0.000456 0.000543 0.000604 0.000635

