nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0243  -0.0175  -0.0135  -0.0104 -0.00779 -0.00556 -0.00354 -0.00164 0.000217   0.0021  0.00411  0.00635  0.00905   0.0127   0.0182   0.0277
       15|  -0.0172  -0.0149  -0.0121  -0.0096 -0.00732 -0.00527 -0.00336 -0.00155  0.00023  0.00204  0.00394  0.00601  0.00836   0.0112   0.0147   0.0186
       14|   -0.013  -0.0119  -0.0102 -0.00837 -0.00653 -0.00476 -0.00305 -0.00139 0.000267  0.00195  0.00369  0.00555  0.00755  0.00973    0.012   0.0138
       13|  -0.0102 -0.00961  -0.0085 -0.00714 -0.00568 -0.00419  -0.0027 -0.00121 0.000278  0.00179  0.00334  0.00493  0.00656  0.00818  0.00963   0.0106
       12| -0.00823 -0.00782 -0.00704 -0.00602 -0.00486 -0.00362 -0.00234 -0.00105 0.000266  0.00159  0.00293  0.00426  0.00557  0.00677  0.00775   0.0083
       11| -0.00671 -0.00642 -0.00584 -0.00506 -0.00412  -0.0031 -0.00202-0.000898 0.000239  0.00138  0.00252  0.00362  0.00466  0.00557  0.00626  0.00663
       10| -0.00552  -0.0053 -0.00486 -0.00424 -0.00349 -0.00264 -0.00172 -0.00077 0.000203  0.00118  0.00213  0.00304  0.00387  0.00457  0.00508  0.00535
        9| -0.00458 -0.00441 -0.00406 -0.00357 -0.00295 -0.00224 -0.00147-0.000664 0.000163 0.000988  0.00179  0.00254  0.00321  0.00376  0.00415  0.00435
        8| -0.00383  -0.0037 -0.00342 -0.00301  -0.0025 -0.00191 -0.00126-0.000577 0.000124 0.000821  0.00149  0.00212  0.00266   0.0031  0.00341  0.00357
        7| -0.00324 -0.00313  -0.0029 -0.00256 -0.00214 -0.00164 -0.00109-0.000508 8.84e-05  0.00068  0.00125  0.00177  0.00222  0.00258  0.00283  0.00295
        6| -0.00278 -0.00268 -0.00249 -0.00221 -0.00185 -0.00142-0.000953-0.000454  5.7e-05 0.000562  0.00104  0.00148  0.00186  0.00216  0.00237  0.00247
        5| -0.00242 -0.00234 -0.00217 -0.00193 -0.00162 -0.00125-0.000845-0.000412 3.09e-05 0.000468 0.000883  0.00126  0.00158  0.00184  0.00201   0.0021
        4| -0.00215 -0.00208 -0.00193 -0.00172 -0.00144 -0.00112-0.000763-0.000381 1.02e-05 0.000396 0.000761  0.00109  0.00137   0.0016  0.00175  0.00182
        3| -0.00195 -0.00189 -0.00176 -0.00157 -0.00132 -0.00103-0.000705-0.000359-5.12e-06 0.000343 0.000673  0.00097  0.00122  0.00142  0.00156  0.00162
        2| -0.00183 -0.00177 -0.00165 -0.00147 -0.00124-0.000971-0.000668-0.000345 -1.5e-05  0.00031 0.000617 0.000893  0.00113  0.00131  0.00144   0.0015
        1| -0.00177 -0.00172  -0.0016 -0.00143 -0.00121-0.000943-0.000651-0.000339-1.97e-05 0.000294  0.00059 0.000857  0.00108  0.00126  0.00138  0.00144

