nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0269  -0.0189   -0.014  -0.0105 -0.00776 -0.00539 -0.00325 -0.00124 0.000739  0.00275  0.00489  0.00726     0.01   0.0136   0.0185   0.0267
       15|   -0.019  -0.0159  -0.0126 -0.00981 -0.00735 -0.00515 -0.00312 -0.00119 0.000705  0.00263  0.00466  0.00686  0.00933   0.0122   0.0155   0.0187
       14|  -0.0144  -0.0129  -0.0108 -0.00871 -0.00667 -0.00474  -0.0029 -0.00112 0.000643  0.00243  0.00427   0.0062  0.00825   0.0104   0.0125    0.014
       13|  -0.0113  -0.0104 -0.00909 -0.00752 -0.00588 -0.00424 -0.00262 -0.00103 0.000562  0.00216  0.00378  0.00542  0.00707  0.00866     0.01   0.0109
       12| -0.00904 -0.00851 -0.00758  -0.0064 -0.00509 -0.00372 -0.00233-0.000928 0.000472  0.00187  0.00327  0.00464  0.00596  0.00715   0.0081  0.00864
       11| -0.00736 -0.00699 -0.00631  -0.0054 -0.00435 -0.00322 -0.00204-0.000831 0.000382  0.00159  0.00278  0.00391  0.00497  0.00588  0.00657  0.00695
       10| -0.00605 -0.00578 -0.00526 -0.00455 -0.00371 -0.00277 -0.00177-0.000741 0.000298  0.00133  0.00233  0.00327  0.00412  0.00484  0.00536  0.00563
        9| -0.00502 -0.00481 -0.00441 -0.00384 -0.00315 -0.00237 -0.00154-0.000662 0.000223   0.0011  0.00194  0.00272  0.00341  0.00398  0.00439   0.0046
        8| -0.00421 -0.00404 -0.00372 -0.00326 -0.00269 -0.00204 -0.00133-0.000594 0.000158 0.000899  0.00161  0.00226  0.00283  0.00329  0.00362  0.00378
        7| -0.00356 -0.00343 -0.00316 -0.00278 -0.00231 -0.00177 -0.00117-0.000537 0.000103 0.000733  0.00133  0.00188  0.00236  0.00273    0.003  0.00313
        6| -0.00305 -0.00294 -0.00272  -0.0024 -0.00201 -0.00154 -0.00103-0.000491 5.81e-05 0.000598  0.00111  0.00157  0.00198  0.00229  0.00251  0.00263
        5| -0.00266 -0.00256 -0.00238 -0.00211 -0.00176 -0.00136-0.000921-0.000454 2.23e-05  0.00049 0.000933  0.00133  0.00168  0.00195  0.00214  0.00223
        4| -0.00236 -0.00228 -0.00212 -0.00188 -0.00158 -0.00123-0.000838-0.000426-5.21e-06 0.000408 0.000798  0.00115  0.00145  0.00169  0.00185  0.00193
        3| -0.00215 -0.00208 -0.00193 -0.00172 -0.00145 -0.00113-0.000778-0.000405-2.51e-05 0.000348   0.0007  0.00102  0.00129   0.0015  0.00165  0.00172
        2| -0.00201 -0.00195 -0.00181 -0.00161 -0.00136 -0.00107 -0.00074-0.000392-3.81e-05  0.00031 0.000637 0.000933  0.00118  0.00138  0.00152  0.00159
        1| -0.00195 -0.00188 -0.00175 -0.00156 -0.00132 -0.00104-0.000721-0.000386-4.43e-05 0.000291 0.000607 0.000891  0.00113  0.00132  0.00145  0.00152

