nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0266  -0.0187  -0.0139  -0.0105 -0.00772 -0.00537 -0.00326 -0.00126 0.000693  0.00268   0.0048  0.00715  0.00991   0.0134   0.0184   0.0267
       15|  -0.0188  -0.0157  -0.0126 -0.00975 -0.00731 -0.00514 -0.00313 -0.00122 0.000662  0.00257  0.00458  0.00676  0.00921    0.012   0.0153   0.0186
       14|  -0.0142  -0.0127  -0.0107 -0.00864 -0.00663 -0.00472  -0.0029 -0.00114 0.000609  0.00238   0.0042  0.00612  0.00815   0.0103   0.0124   0.0139
       13|  -0.0111  -0.0103   -0.009 -0.00745 -0.00583 -0.00422 -0.00262 -0.00104 0.000536  0.00212  0.00372  0.00536    0.007  0.00858  0.00995   0.0108
       12| -0.00893 -0.00841  -0.0075 -0.00633 -0.00504 -0.00369 -0.00232-0.000933 0.000453  0.00184  0.00322  0.00459   0.0059  0.00709  0.00803  0.00857
       11| -0.00726  -0.0069 -0.00624 -0.00535 -0.00431 -0.00319 -0.00202-0.000832 0.000369  0.00156  0.00274  0.00387  0.00492  0.00583  0.00651  0.00688
       10| -0.00597 -0.00571  -0.0052  -0.0045 -0.00367 -0.00274 -0.00176 -0.00074 0.000289  0.00131   0.0023  0.00324  0.00408  0.00479  0.00531  0.00558
        9| -0.00496 -0.00475 -0.00436  -0.0038 -0.00312 -0.00235 -0.00152-0.000659 0.000217  0.00108  0.00192  0.00269  0.00338  0.00394  0.00434  0.00455
        8| -0.00415 -0.00399 -0.00367 -0.00322 -0.00266 -0.00202 -0.00132-0.000589 0.000154 0.000888  0.00159  0.00224   0.0028  0.00326  0.00358  0.00374
        7| -0.00351 -0.00338 -0.00312 -0.00275 -0.00228 -0.00175 -0.00115-0.000532 0.000101 0.000725  0.00132  0.00186  0.00233  0.00271  0.00297   0.0031
        6| -0.00301  -0.0029 -0.00269 -0.00237 -0.00198 -0.00152 -0.00102-0.000485 5.76e-05 0.000591   0.0011  0.00156  0.00195  0.00227  0.00249   0.0026
        5| -0.00262 -0.00253 -0.00235 -0.00208 -0.00174 -0.00135 -0.00091-0.000448 2.28e-05 0.000486 0.000923  0.00132  0.00166  0.00193  0.00211  0.00221
        4| -0.00233 -0.00225 -0.00209 -0.00186 -0.00156 -0.00121-0.000828 -0.00042-3.96e-06 0.000404  0.00079  0.00114  0.00144  0.00167  0.00183  0.00191
        3| -0.00212 -0.00205 -0.00191  -0.0017 -0.00143 -0.00112-0.000768-0.000399-2.34e-05 0.000346 0.000694  0.00101  0.00128  0.00149  0.00163   0.0017
        2| -0.00199 -0.00192 -0.00179 -0.00159 -0.00135 -0.00105 -0.00073-0.000386-3.59e-05 0.000308 0.000632 0.000924  0.00117  0.00137   0.0015  0.00157
        1| -0.00192 -0.00186 -0.00173 -0.00154  -0.0013 -0.00102-0.000711 -0.00038 -4.2e-05  0.00029 0.000602 0.000884  0.00112  0.00131  0.00144  0.00151

