nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       16|  -0.0244  -0.0176  -0.0135  -0.0104 -0.00777 -0.00554 -0.00351 -0.00161 0.000257  0.00215  0.00416  0.00641  0.00911   0.0127   0.0182   0.0276
       15|  -0.0174  -0.0149  -0.0122  -0.0096 -0.00731 -0.00525 -0.00334 -0.00152 0.000267  0.00208  0.00399  0.00606  0.00842   0.0112   0.0147   0.0186
       14|  -0.0131   -0.012  -0.0103 -0.00838 -0.00653 -0.00475 -0.00303 -0.00136 0.000296  0.00198  0.00373  0.00559   0.0076  0.00977    0.012   0.0138
       13|  -0.0103 -0.00966 -0.00853 -0.00716 -0.00568 -0.00418 -0.00269  -0.0012   0.0003  0.00181  0.00336  0.00496  0.00659  0.00821  0.00965   0.0106
       12| -0.00828 -0.00786 -0.00707 -0.00604 -0.00487 -0.00362 -0.00234 -0.00104 0.000282  0.00161  0.00295  0.00428  0.00559  0.00679  0.00776  0.00831
       11| -0.00674 -0.00645 -0.00587 -0.00507 -0.00414  -0.0031 -0.00201-0.000891  0.00025   0.0014  0.00253  0.00364  0.00467  0.00558  0.00627  0.00664
       10| -0.00555 -0.00533 -0.00488 -0.00426  -0.0035 -0.00264 -0.00172-0.000766  0.00021  0.00119  0.00214  0.00305  0.00388  0.00458   0.0051  0.00536
        9|  -0.0046 -0.00443 -0.00408 -0.00358 -0.00296 -0.00225 -0.00147-0.000662 0.000167 0.000995   0.0018  0.00255  0.00322  0.00377  0.00416  0.00436
        8| -0.00385 -0.00372 -0.00343 -0.00303 -0.00251 -0.00192 -0.00127-0.000578 0.000127 0.000826   0.0015  0.00212  0.00267  0.00311  0.00342  0.00357
        7| -0.00326 -0.00315 -0.00291 -0.00258 -0.00215 -0.00165 -0.00109 -0.00051 8.93e-05 0.000683  0.00125  0.00177  0.00222  0.00258  0.00283  0.00296
        6| -0.00279  -0.0027  -0.0025 -0.00222 -0.00185 -0.00143-0.000957-0.000456  5.7e-05 0.000564  0.00105  0.00149  0.00187  0.00217  0.00237  0.00248
        5| -0.00243 -0.00235 -0.00218 -0.00194 -0.00163 -0.00126-0.000849-0.000415 3.01e-05 0.000469 0.000886  0.00126  0.00159  0.00184  0.00202   0.0021
        4| -0.00216 -0.00209 -0.00194 -0.00173 -0.00145 -0.00113-0.000768-0.000384 8.94e-06 0.000396 0.000762  0.00109  0.00138   0.0016  0.00175  0.00182
        3| -0.00196  -0.0019 -0.00177 -0.00158 -0.00133 -0.00104-0.000709-0.000362-6.66e-06 0.000343 0.000674 0.000972  0.00123  0.00143  0.00156  0.00163
        2| -0.00184 -0.00178 -0.00166 -0.00148 -0.00125-0.000977-0.000672-0.000348-1.68e-05 0.000309 0.000617 0.000895  0.00113  0.00132  0.00144   0.0015
        1| -0.00178 -0.00173 -0.00161 -0.00144 -0.00121-0.000949-0.000655-0.000342-2.15e-05 0.000293 0.000591 0.000858  0.00109  0.00126  0.00138  0.00144

